event_id,timestamp,user_id,src_ip,device_id,event_type,authentication_result,location,severity,is_valid_ip,is_known_user,department,role,employment_status,privileged_account,location_user,hostname,asset_type,department_asset,owner,criticality,operating_system
AUTH002995,INCONNU,U0286,10.15.77.82,D0126,MFA_CHALLENGE,success,Nantes,low,True,True,FINANCE,Technician,ACTIVE,NO,Lyon,PHF-SRV-0126,Desktop,JURIDIQUE,RH,CRITICAL,MACOS 14
AUTH000848,INCONNU,U0109,10.23.25.203,D0106,MFA_CHALLENGE,SUCCESS,Lyon,Medium,True,True,JURIDIQUE,Assistant,ACTIVE,NO,Bordeaux,PHF-WS-0106,Laptop,DIRECTION,Regions,LOW,WINDOWS 11
AUTH003319,INCONNU,U0177,10.10.117.183,D0163,RDP_SESSION,success,Marseille,MEDIUM,True,True,JURIDIQUE,Manager,ACTIVE,NO,Marseille,PHF-VM-0163,Desktop,RH,IT,INCONNU,UBUNTU 22.04
AUTH003332,INCONNU,U0012,10.10.98.138,D0080,RDP_SESSION,Success,Lyon,LOW,True,True,FINANCE,Coordinator,ACTIVE,NO,Marseille,PHF-WS-0080,Mobile,FINANCE,Communication,Critical,MACOS 14
AUTH001049,INCONNU,U0014,10.9.163.56,D0008,PASSWORD_CHANGE,SUCCESS,Lille,Medium,True,True,IT,Technician,ACTIVE,NO,Nantes,PHF-SRV-0008,Mobile,FINANCE,Communication,High,WINDOWS 11
AUTH003466,INCONNU,U0204,10.40.223.240,D0150,MFA_CHALLENGE,Success,Nantes,Medium,True,True,REGIONS,Engineer,ACTIVE,NO,Marseille,PHF-WS-0150,Mobile,FINANCE,Finance,Medium,UBUNTU 22.04
AUTH001848,INCONNU,U0203,10.22.57.23,D0066,MFA_CHALLENGE,SUCCESS,Marseille,MEDIUM,True,True,FINANCE,Technician,ACTIVE,NO,Lille,PHF-SRV-0066,Mobile,JURIDIQUE,RH,Low,WINDOWS 10
AUTH000309,INCONNU,U0243,10.28.137.174,D0046,RDP_SESSION,Success,Toulouse,Medium,True,True,FINANCE,Engineer,ACTIVE,NO,Marseille,PHF-VM-0046,Desktop,COMMUNICATION,RH,Low,UBUNTU 22.04
AUTH002180,INCONNU,U0305,10.10.31.190,D0044,VPN_CONNECT,success,Toulouse,low,True,True,COMMUNICATION,Engineer,ACTIVE,NO,Paris,PHF-VM-0044,Mobile,COMMUNICATION,IT,Low,MACOS 14
AUTH002688,09/03/2026,U0158,10.4.199.242,D0054,RDP_SESSION,SUCCESS,Toulouse,LOW,True,True,DIRECTION,Analyst,ACTIVE,NO,Marseille,PHF-WS-0054,Mobile,RH,Juridique,High,WINDOWS SERVER 2019
AUTH001379,14/03/2026,U0371,10.35.24.78,D0198,MFA_CHALLENGE,success,Marseille,LOW,True,True,DIRECTION,Assistant,ACTIVE,NO,Lyon,PHF-VM-0198,Mobile,JURIDIQUE,Communication,Low,UBUNTU 22.04
AUTH001622,INCONNU,U0139,10.30.11.181,D0029,RDP_SESSION,SUCCESS,Bordeaux,medium,True,True,IT,Assistant,ACTIVE,NO,Lyon,PHF-WS-0029,Server,COMMUNICATION,IT,Critical,WINDOWS 11
AUTH003678,03/03/2026,U0125,10.49.114.238,D0169,VPN_CONNECT,Success,Lille,Low,True,True,REGIONS,Coordinator,ACTIVE,NO,Paris,PHF-LT-0169,Mobile,COMMUNICATION,IT,HIGH,WINDOWS SERVER 2022
AUTH004397,INCONNU,U0190,10.22.137.150,D0157,VPN_CONNECT,success,Nantes,medium,True,True,IT,Manager,ACTIVE,YES,Toulouse,PHF-WS-0157,Mobile,DIRECTION,Communication,HIGH,MACOS 14
AUTH002756,INCONNU,U0150,10.42.125.38,D0051,LOGIN,success,Paris,Medium,True,True,FINANCE,Technician,ACTIVE,NO,Bordeaux,PHF-SRV-0051,Vm,REGIONS,Regions,Critical,MACOS 14
AUTH001922,INCONNU,U0260,10.12.180.85,D0076,LOGOUT,Success,Toulouse,Low,True,True,FINANCE,Technician,ACTIVE,NO,Lyon,PHF-SRV-0076,Desktop,FINANCE,IT,MEDIUM,WINDOWS SERVER 2019
AUTH000148,INCONNU,U0058,10.48.196.146,D0080,VPN_CONNECT,Success,Marseille,low,True,True,IT,Assistant,ACTIVE,NO,Toulouse,PHF-WS-0080,Mobile,FINANCE,Communication,Critical,MACOS 14
AUTH004838,INCONNU,U0196,99.29.47.39,D0144,VPN_CONNECT,success,Bucharest,medium,True,True,RH,Director,ACTIVE,YES,Marseille,PHF-LT-0144,Desktop,DIRECTION,Regions,High,MACOS 14
AUTH002773,INCONNU,U0345,10.33.247.153,D0142,RDP_SESSION,Success,Nantes,LOW,True,True,DIRECTION,Engineer,ACTIVE,NO,Lyon,PHF-VM-0142,Mobile,COMMUNICATION,Regions,Critical,UBUNTU 22.04
AUTH000593,INCONNU,U0005,10.6.202.63,D0172,PASSWORD_CHANGE,Success,Marseille,Medium,True,True,JURIDIQUE,Coordinator,ACTIVE,NO,Paris,PHF-SRV-0172,Server,FINANCE,IT,High,WINDOWS SERVER 2019
AUTH002250,INCONNU,U0261,10.2.82.218,D0124,PASSWORD_CHANGE,SUCCESS,Marseille,low,True,True,FINANCE,Analyst,ACTIVE,NO,Lille,PHF-LT-0124,Desktop,REGIONS,Direction,Low,WINDOWS 11
AUTH004105,INCONNU,U0288,10.22.23.58,D0058,PASSWORD_CHANGE,SUCCESS,Paris,LOW,True,True,DIRECTION,Engineer,ACTIVE,NO,Lyon,PHF-WS-0058,Mobile,RH,IT,INCONNU,MACOS 14
AUTH004181,03/03/2026,U0355,10.15.180.124,D0065,PASSWORD_CHANGE,success,Bordeaux,Medium,True,True,REGIONS,Engineer,ACTIVE,NO,Lyon,PHF-WS-0065,Mobile,COMMUNICATION,RH,MEDIUM,WINDOWS 11
AUTH000909,21/03/2026,U0377,10.24.19.171,D0012,LOGIN,Success,Paris,Low,True,True,DIRECTION,Coordinator,ACTIVE,NO,Toulouse,PHF-LT-0012,Mobile,COMMUNICATION,IT,Critical,WINDOWS SERVER 2022
AUTH002011,INCONNU,U0168,10.0.120.57,D0153,VPN_CONNECT,failed,Nantes,medium,True,True,REGIONS,Assistant,ACTIVE,NO,Marseille,PHF-LT-0153,Server,REGIONS,IT,Medium,WINDOWS SERVER 2022
AUTH004219,INCONNU,U0125,10.20.178.8,D0043,PASSWORD_CHANGE,SUCCESS,Lyon,MEDIUM,True,True,REGIONS,Coordinator,ACTIVE,NO,Paris,PHF-SRV-0043,Vm,JURIDIQUE,Communication,High,UBUNTU 22.04
AUTH000731,INCONNU,U0225,10.24.53.17,D0039,RDP_SESSION,success,Paris,low,True,True,JURIDIQUE,Engineer,ACTIVE,NO,Bordeaux,PHF-LT-0039,Laptop,REGIONS,Finance,CRITICAL,WINDOWS 11
AUTH002179,INCONNU,U0004,10.46.124.215,D0099,VPN_CONNECT,SUCCESS,Bordeaux,LOW,True,True,IT,Coordinator,ACTIVE,NO,Nantes,PHF-SRV-0099,Vm,JURIDIQUE,RH,INCONNU,WINDOWS SERVER 2022
AUTH000061,INCONNU,U0177,10.20.40.169,D0145,LOGIN,Success,Toulouse,low,True,True,JURIDIQUE,Manager,ACTIVE,NO,Marseille,PHF-WS-0145,Mobile,RH,Direction,Low,MACOS 14
AUTH003095,INCONNU,U0124,10.16.50.12,D0097,LOGIN,FAILED,Toulouse,Medium,True,True,RH,Engineer,ACTIVE,NO,Bordeaux,PHF-VM-0097,Desktop,RH,Juridique,MEDIUM,MACOS 14
AUTH003788,INCONNU,U0190,10.13.240.106,D0087,LOGIN,SUCCESS,Lyon,MEDIUM,True,True,IT,Manager,ACTIVE,YES,Toulouse,PHF-VM-0087,Vm,REGIONS,INCONNU,High,WINDOWS 11
AUTH000388,07/03/2026,U0051,10.18.76.224,D0155,RDP_SESSION,success,Bordeaux,medium,True,True,FINANCE,Director,ACTIVE,YES,Paris,PHF-LT-0155,Vm,COMMUNICATION,Communication,MEDIUM,WINDOWS SERVER 2022
AUTH001064,07/03/2026,U0338,10.6.99.45,D0173,MFA_CHALLENGE,failed,Bordeaux,medium,True,True,JURIDIQUE,Technician,ACTIVE,NO,Lille,PHF-VM-0173,Laptop,JURIDIQUE,Direction,Low,MACOS 14
AUTH001670,04/03/2026,U0176,10.25.219.39,D0127,LOGOUT,SUCCESS,Paris,LOW,True,True,JURIDIQUE,Analyst,ACTIVE,NO,Paris,PHF-LT-0127,Laptop,REGIONS,Regions,INCONNU,WINDOWS SERVER 2019
AUTH003178,INCONNU,U0227,10.36.201.206,D0012,VPN_CONNECT,success,Toulouse,LOW,True,True,FINANCE,Engineer,ACTIVE,NO,Lyon,PHF-LT-0012,Mobile,COMMUNICATION,IT,Critical,WINDOWS SERVER 2022
AUTH001603,INCONNU,U0165,10.5.55.219,D0109,LOGOUT,SUCCESS,Lyon,Medium,True,True,IT,Coordinator,ACTIVE,NO,Nantes,PHF-VM-0109,Desktop,IT,Juridique,MEDIUM,WINDOWS SERVER 2019
AUTH001735,16/03/2026,U0141,10.12.204.39,D0091,MFA_CHALLENGE,success,Toulouse,low,True,True,IT,Engineer,ACTIVE,NO,Bordeaux,PHF-SRV-0091,Server,RH,Regions,LOW,WINDOWS SERVER 2019
AUTH003684,INCONNU,U0328,10.50.214.198,D0125,PASSWORD_CHANGE,success,Nantes,medium,True,True,JURIDIQUE,Engineer,ACTIVE,NO,Nantes,PHF-SRV-0125,Desktop,COMMUNICATION,Finance,INCONNU,WINDOWS 11
AUTH003738,INCONNU,U0089,10.15.122.151,D0155,MFA_CHALLENGE,Success,Marseille,medium,True,True,COMMUNICATION,Manager,ACTIVE,NO,Marseille,PHF-LT-0155,Vm,COMMUNICATION,Communication,MEDIUM,WINDOWS SERVER 2022
AUTH000372,INCONNU,U0330,10.32.169.111,D0010,LOGIN,Success,Lille,low,True,True,FINANCE,Coordinator,ACTIVE,YES,Marseille,PHF-LT-0010,Server,JURIDIQUE,Finance,MEDIUM,UBUNTU 22.04
AUTH001411,07/03/2026,U0012,10.13.110.73,D0012,MFA_CHALLENGE,success,Marseille,Medium,True,True,FINANCE,Coordinator,ACTIVE,NO,Marseille,PHF-LT-0012,Mobile,COMMUNICATION,IT,Critical,WINDOWS SERVER 2022
AUTH002442,11/03/2026,U0214,10.8.84.184,D0107,RDP_SESSION,Success,Nantes,MEDIUM,True,True,FINANCE,Engineer,ACTIVE,NO,Marseille,PHF-SRV-0107,Mobile,FINANCE,Direction,INCONNU,WINDOWS SERVER 2022
AUTH001257,INCONNU,U0154,10.28.104.243,D0197,PASSWORD_CHANGE,Success,Lille,Medium,True,True,JURIDIQUE,Analyst,ACTIVE,NO,Marseille,PHF-WS-0197,Vm,JURIDIQUE,Finance,HIGH,WINDOWS SERVER 2019
AUTH002063,03/03/2026,U0261,10.42.37.29,D0069,PASSWORD_CHANGE,Success,Nantes,medium,True,True,FINANCE,Analyst,ACTIVE,NO,Lille,PHF-LT-0069,Mobile,RH,Communication,High,WINDOWS 10
AUTH001278,INCONNU,U0051,10.6.27.51,D0141,MFA_CHALLENGE,Success,Bordeaux,LOW,True,True,FINANCE,Director,ACTIVE,YES,Paris,PHF-SRV-0141,Desktop,JURIDIQUE,Regions,HIGH,WINDOWS SERVER 2022
AUTH003387,04/03/2026,U0381,10.15.42.164,D0035,MFA_CHALLENGE,Success,Marseille,MEDIUM,True,True,DIRECTION,Engineer,ACTIVE,NO,Marseille,PHF-SRV-0035,Mobile,REGIONS,Juridique,Medium,WINDOWS SERVER 2019
AUTH003916,INCONNU,U0227,10.24.68.172,D0113,PASSWORD_CHANGE,Success,Nantes,medium,True,True,FINANCE,Engineer,ACTIVE,NO,Lyon,PHF-WS-0113,Desktop,IT,Regions,CRITICAL,WINDOWS SERVER 2022
AUTH002678,22/03/2026,U0006,10.36.91.206,D0020,LOGOUT,Success,Bordeaux,MEDIUM,True,True,FINANCE,Engineer,ACTIVE,NO,Bordeaux,PHF-WS-0020,Vm,COMMUNICATION,Juridique,MEDIUM,WINDOWS 11
AUTH003980,INCONNU,U0090,10.34.167.178,D0130,LOGIN,success,Nantes,low,True,True,REGIONS,Manager,ACTIVE,NO,Lyon,PHF-WS-0130,Mobile,RH,Direction,MEDIUM,WINDOWS SERVER 2019
AUTH004209,12/03/2026,U0129,10.42.155.202,D0015,RDP_SESSION,Success,Nantes,MEDIUM,True,True,JURIDIQUE,Technician,ACTIVE,NO,Lille,PHF-WS-0015,Server,COMMUNICATION,Finance,CRITICAL,WINDOWS SERVER 2019
AUTH000533,INCONNU,U0229,10.7.247.203,D0133,LOGIN,success,Lille,MEDIUM,True,True,JURIDIQUE,Director,ACTIVE,YES,Marseille,PHF-VM-0133,Desktop,DIRECTION,RH,Critical,MACOS 14
AUTH003199,INCONNU,U0226,10.44.226.113,D0152,PASSWORD_CHANGE,success,Toulouse,Medium,True,True,COMMUNICATION,Analyst,ACTIVE,NO,Marseille,PHF-VM-0152,Desktop,FINANCE,IT,Critical,WINDOWS 11
AUTH002217,INCONNU,U0175,10.48.5.90,D0193,LOGOUT,success,Bordeaux,low,True,True,RH,Engineer,ACTIVE,YES,Lille,PHF-SRV-0193,Server,REGIONS,RH,Critical,WINDOWS 11
AUTH003026,INCONNU,U0028,10.18.220.136,D0115,LOGOUT,SUCCESS,Lyon,MEDIUM,True,True,IT,Technician,ACTIVE,NO,Nantes,PHF-LT-0115,Mobile,FINANCE,Communication,INCONNU,WINDOWS 11
AUTH001957,INCONNU,U0266,10.29.49.195,D0148,RDP_SESSION,Success,Marseille,Medium,True,True,COMMUNICATION,Assistant,ACTIVE,NO,Nantes,PHF-LT-0148,Desktop,RH,Direction,CRITICAL,WINDOWS SERVER 2022
AUTH003176,21/03/2026,U0294,10.21.247.64,D0027,MFA_CHALLENGE,SUCCESS,Lille,low,True,True,FINANCE,Engineer,ACTIVE,NO,Toulouse,PHF-VM-0027,Laptop,COMMUNICATION,Juridique,MEDIUM,WINDOWS SERVER 2022
AUTH002184,INCONNU,U0337,10.3.198.134,D0181,LOGIN,Success,Nantes,low,True,True,REGIONS,Manager,ACTIVE,YES,Lille,PHF-LT-0181,Desktop,DIRECTION,IT,CRITICAL,WINDOWS 10
AUTH002337,INCONNU,U0260,10.45.12.188,D0160,MFA_CHALLENGE,SUCCESS,Paris,low,True,True,FINANCE,Technician,ACTIVE,NO,Lyon,PHF-VM-0160,Server,DIRECTION,Communication,CRITICAL,MACOS 14
AUTH002465,INCONNU,U0361,10.23.106.249,D0065,PASSWORD_CHANGE,success,Marseille,MEDIUM,True,True,COMMUNICATION,Assistant,ACTIVE,NO,Lyon,PHF-WS-0065,Mobile,COMMUNICATION,RH,MEDIUM,WINDOWS 11
AUTH001001,INCONNU,U0189,10.0.132.115,D0011,PASSWORD_CHANGE,success,Toulouse,LOW,True,True,RH,Analyst,ACTIVE,NO,Lille,PHF-SRV-0011,Server,FINANCE,Finance,Critical,WINDOWS SERVER 2019
AUTH002494,INCONNU,U0299,10.32.72.149,D0168,MFA_CHALLENGE,Success,Marseille,Low,True,True,JURIDIQUE,Technician,ACTIVE,NO,Toulouse,PHF-LT-0168,Desktop,REGIONS,Communication,High,WINDOWS 10
AUTH002957,INCONNU,U0108,10.42.38.248,D0167,LOGOUT,Success,Marseille,low,True,True,FINANCE,Engineer,ACTIVE,NO,Bordeaux,PHF-VM-0167,Laptop,RH,Direction,Critical,WINDOWS SERVER 2022
AUTH004291,18/03/2026,U0329,10.20.184.126,D0135,LOGIN,SUCCESS,Toulouse,LOW,True,True,FINANCE,Director,ACTIVE,NO,Nantes,PHF-SRV-0135,Server,JURIDIQUE,RH,Low,WINDOWS SERVER 2019
AUTH000716,11/03/2026,U0309,10.32.29.153,D0057,RDP_SESSION,SUCCESS,Lyon,Medium,True,True,FINANCE,Director,ACTIVE,NO,Bordeaux,PHF-VM-0057,Server,IT,IT,High,UBUNTU 22.04
AUTH002698,INCONNU,U0349,10.19.186.133,D0007,LOGOUT,SUCCESS,Nantes,medium,True,True,REGIONS,Analyst,ACTIVE,NO,Bordeaux,PHF-WS-0007,Laptop,RH,IT,LOW,WINDOWS 10
AUTH000007,INCONNU,U0211,10.31.185.212,D0102,PASSWORD_CHANGE,Success,Toulouse,LOW,True,True,DIRECTION,Assistant,ACTIVE,NO,Lyon,PHF-VM-0102,Mobile,COMMUNICATION,Direction,Critical,WINDOWS SERVER 2019
AUTH002247,INCONNU,U0207,10.13.83.148,D0128,RDP_SESSION,success,Toulouse,Medium,True,True,JURIDIQUE,Assistant,ACTIVE,NO,Bordeaux,PHF-LT-0128,Mobile,DIRECTION,Direction,LOW,WINDOWS 11
AUTH004376,INCONNU,U0048,10.17.27.52,D0185,LOGIN,SUCCESS,Bordeaux,medium,True,True,DIRECTION,Analyst,ACTIVE,NO,Marseille,PHF-LT-0185,Desktop,REGIONS,Direction,Critical,WINDOWS 10
AUTH002493,14/03/2026,U0176,10.15.11.43,D0044,PASSWORD_CHANGE,SUCCESS,Marseille,medium,True,True,JURIDIQUE,Analyst,ACTIVE,NO,Paris,PHF-VM-0044,Mobile,COMMUNICATION,IT,Low,MACOS 14
AUTH004027,INCONNU,U0161,10.17.250.19,D0051,LOGIN,SUCCESS,Bordeaux,medium,True,True,RH,Director,ACTIVE,NO,Lille,PHF-SRV-0051,Vm,REGIONS,Regions,Critical,MACOS 14
AUTH004272,INCONNU,U0048,10.15.113.146,D0147,PASSWORD_CHANGE,Failed,Lyon,low,True,True,DIRECTION,Analyst,ACTIVE,NO,Marseille,PHF-LT-0147,Vm,IT,IT,HIGH,WINDOWS SERVER 2019
AUTH000125,06/03/2026,U0174,10.36.220.42,D0167,MFA_CHALLENGE,SUCCESS,Lille,LOW,True,True,REGIONS,Director,ACTIVE,NO,Toulouse,PHF-VM-0167,Laptop,RH,Direction,Critical,WINDOWS SERVER 2022
AUTH004537,22/03/2026,U0376,999.1.1.1,D0162,PASSWORD_CHANGE,SUCCESS,Paris,LOW,True,True,FINANCE,Manager,ACTIVE,NO,Marseille,PHF-WS-0162,Desktop,RH,Juridique,INCONNU,UBUNTU 22.04
AUTH003455,INCONNU,U0174,10.13.98.19,D0200,MFA_CHALLENGE,SUCCESS,Toulouse,low,True,True,REGIONS,Director,ACTIVE,NO,Toulouse,PHF-SRV-0200,Desktop,FINANCE,Communication,CRITICAL,UBUNTU 22.04
AUTH004418,INCONNU,U0215,10.23.64.102,D0088,RDP_SESSION,Success,Marseille,MEDIUM,True,True,RH,Engineer,ACTIVE,NO,Marseille,PHF-WS-0088,Mobile,JURIDIQUE,Finance,High,WINDOWS 10
AUTH003517,INCONNU,U0325,10.17.170.111,D0139,PASSWORD_CHANGE,success,Nantes,MEDIUM,True,True,COMMUNICATION,Coordinator,ACTIVE,NO,Lille,PHF-LT-0139,Server,JURIDIQUE,Finance,Low,WINDOWS SERVER 2019
AUTH004345,INCONNU,U0185,10.47.166.43,D0103,MFA_CHALLENGE,Success,Lyon,MEDIUM,True,True,COMMUNICATION,Assistant,ACTIVE,NO,Marseille,PHF-SRV-0103,Server,RH,Finance,CRITICAL,MACOS 14
AUTH001389,12/03/2026,U0086,10.5.110.103,D0174,LOGOUT,SUCCESS,Lyon,medium,True,True,IT,Technician,ACTIVE,NO,Paris,PHF-VM-0174,Vm,REGIONS,IT,INCONNU,WINDOWS SERVER 2022
AUTH001640,08/03/2026,U0359,10.44.42.224,D0042,RDP_SESSION,SUCCESS,Lyon,medium,True,True,FINANCE,Coordinator,ACTIVE,NO,Marseille,PHF-VM-0042,Mobile,RH,Regions,High,MACOS 14
AUTH003602,21/03/2026,U0037,10.5.241.160,D0016,VPN_CONNECT,success,Toulouse,MEDIUM,True,True,COMMUNICATION,Director,ACTIVE,NO,Marseille,PHF-SRV-0016,Server,RH,INCONNU,MEDIUM,WINDOWS SERVER 2019
AUTH000340,INCONNU,U0132,10.29.211.90,D0062,RDP_SESSION,Success,Toulouse,MEDIUM,True,True,COMMUNICATION,Engineer,ACTIVE,NO,Lille,PHF-VM-0062,Laptop,FINANCE,RH,High,WINDOWS SERVER 2022
AUTH000118,INCONNU,U0035,10.3.160.22,D0167,PASSWORD_CHANGE,SUCCESS,Marseille,Low,True,True,JURIDIQUE,Coordinator,ACTIVE,NO,Nantes,PHF-VM-0167,Laptop,RH,Direction,Critical,WINDOWS SERVER 2022
AUTH003479,INCONNU,U0024,10.16.249.209,D0010,PASSWORD_CHANGE,Success,Bordeaux,low,True,True,JURIDIQUE,Assistant,ACTIVE,NO,Lille,PHF-LT-0010,Server,JURIDIQUE,Finance,MEDIUM,UBUNTU 22.04
AUTH000243,10/03/2026,U0032,10.16.173.139,D0052,VPN_CONNECT,Success,Toulouse,medium,True,True,REGIONS,Analyst,ACTIVE,NO,Toulouse,PHF-WS-0052,Mobile,JURIDIQUE,Direction,Low,WINDOWS 10
AUTH000891,INCONNU,U0073,10.36.28.252,D0018,LOGOUT,success,Lille,MEDIUM,True,True,COMMUNICATION,Manager,ACTIVE,NO,Bordeaux,PHF-SRV-0018,Vm,DIRECTION,IT,LOW,MACOS 14
AUTH000253,INCONNU,U0124,10.42.206.147,D0056,LOGOUT,Success,Toulouse,MEDIUM,True,True,RH,Engineer,ACTIVE,NO,Bordeaux,PHF-LT-0055,Server,DIRECTION,Communication,HIGH,WINDOWS 10
AUTH000443,INCONNU,U0328,10.36.123.62,D0048,LOGOUT,FAILED,Paris,Low,True,True,JURIDIQUE,Engineer,ACTIVE,NO,Nantes,PHF-SRV-0048,Vm,FINANCE,Finance,High,MACOS 14
AUTH004120,21/03/2026,U0005,10.35.140.194,D0094,LOGIN,Success,Bordeaux,low,True,True,JURIDIQUE,Coordinator,ACTIVE,NO,Paris,PHF-LT-0094,Desktop,RH,Juridique,HIGH,MACOS 14
AUTH001543,16/03/2026,U0057,10.12.191.186,D0099,PASSWORD_CHANGE,SUCCESS,Bordeaux,medium,True,True,RH,Engineer,ACTIVE,NO,Lille,PHF-SRV-0099,Vm,JURIDIQUE,RH,INCONNU,WINDOWS SERVER 2022
AUTH003438,12/03/2026,U0107,10.34.194.148,D0144,LOGIN,SUCCESS,Marseille,low,True,True,COMMUNICATION,Director,ACTIVE,NO,Lille,PHF-LT-0144,Desktop,DIRECTION,Regions,High,MACOS 14
AUTH002487,INCONNU,U0103,10.29.34.164,D0115,MFA_CHALLENGE,Success,Nantes,Medium,True,True,FINANCE,Technician,ACTIVE,NO,Lille,PHF-LT-0115,Mobile,FINANCE,Communication,INCONNU,WINDOWS 11
