event_id,timestamp,user_id,src_ip,device_id,event_type,authentication_result,location,severity,is_valid_ip,is_known_user,audit_reason
AUTH004770,,U9001,10.43.119.130,D0010,LOGIN,success,Marseille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004326,,,10.4.224.254,D0076,LOGOUT,Success,Nantes,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002874,,,10.33.15.115,D0107,LOGIN,SUCCESS,Lyon,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000177,,,10.31.210.207,D0086,LOGIN,success,Lille,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004776,,U9003,10.42.189.231,D0139,LOGIN,Success,Toulouse,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002799,05/03/2026,,10.47.27.185,D0109,RDP_SESSION,FAILURE,Lille,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002124,,,10.14.138.232,D0128,PASSWORD_CHANGE,Success,Toulouse,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001910,,,10.10.134.240,D0142,MFA_CHALLENGE,SUCCESS,Paris,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003399,,,10.4.98.121,D0142,MFA_CHALLENGE,success,Lyon,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003224,18/03/2026,,10.46.99.146,D0108,RDP_SESSION,SUCCESS,Nantes,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004352,,,10.30.209.229,D0155,RDP_SESSION,Success,Lille,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003372,22/03/2026,,10.30.42.32,D0124,MFA_CHALLENGE,SUCCESS,Lyon,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003025,11/03/2026,,10.46.63.19,D0171,LOGOUT,Success,Marseille,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002140,13/03/2026,,10.20.197.41,D0080,LOGOUT,SUCCESS,Bordeaux,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002675,,,10.36.50.9,D0007,LOGIN,Success,Lyon,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003985,,,10.16.163.18,D0182,MFA_CHALLENGE,Success,Paris,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003180,,,10.46.226.47,D0051,LOGIN,success,Paris,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004756,09/03/2026,,10.22.155.250,D0019,LOGIN,success,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003896,17/03/2026,,10.45.131.80,D0121,RDP_SESSION,failed,Marseille,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004764,,U9004,10.39.223.6,D0197,LOGIN,SUCCESS,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003631,,,10.0.186.15,D0121,RDP_SESSION,success,Nantes,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002512,,,10.10.13.195,D0133,MFA_CHALLENGE,success,Toulouse,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000997,,,10.50.249.167,D0052,LOGOUT,Success,Nantes,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004290,17/03/2026,,10.22.101.164,D0026,LOGOUT,success,Lyon,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002272,,,10.24.155.211,D0168,PASSWORD_CHANGE,Success,Lille,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004155,,,10.10.93.207,D0120,LOGIN,success,Nantes,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002213,,,10.3.229.71,D0113,RDP_SESSION,SUCCESS,Bordeaux,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004753,,U9004,10.33.14.107,D0040,LOGIN,success,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000994,,,10.0.188.208,D0059,VPN_CONNECT,success,Marseille,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002388,,,10.2.236.76,D0081,PASSWORD_CHANGE,SUCCESS,Toulouse,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004761,,,10.16.237.118,D0120,LOGIN,Success,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004329,,,10.8.183.64,D0130,LOGOUT,success,Lille,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000111,18/03/2026,,10.29.73.124,D0101,VPN_CONNECT,Success,Toulouse,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000581,,,10.17.194.27,D0152,PASSWORD_CHANGE,SUCCESS,Lyon,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000532,,,10.2.162.44,D0031,VPN_CONNECT,SUCCESS,Bordeaux,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000802,,,-1.2.3.4,D0190,PASSWORD_CHANGE,success,Paris,Medium,False,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004777,,U9003,10.20.127.178,D0079,LOGIN,success,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004762,,U9001,10.17.140.146,D0174,LOGIN,success,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001898,,,10.43.118.11,D0080,LOGOUT,success,Toulouse,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002811,06/03/2026,,10.32.131.86,D0150,PASSWORD_CHANGE,success,Toulouse,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004752,,U9003,10.16.235.181,D0046,LOGIN,SUCCESS,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004772,16/03/2026,U9002,10.14.116.245,D0013,LOGIN,success,Marseille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004743,,U9001,10.42.199.96,D0034,LOGIN,Success,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003142,,,10.10.75.137,D0189,LOGIN,success,Marseille,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003702,18/03/2026,,10.42.39.151,D0148,RDP_SESSION,success,Lille,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004535,,,10.7.238.106,D0082,RDP_SESSION,SUCCESS,Lyon,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003266,,,10.19.48.108,D0060,VPN_CONNECT,SUCCESS,Paris,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003608,,,10.38.42.238,D0116,VPN_CONNECT,Success,Toulouse,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001304,,,10.45.80.200,D0006,LOGOUT,SUCCESS,Nantes,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004747,,U9003,10.3.27.197,D0100,LOGIN,SUCCESS,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001540,,,10.29.140.44,D0109,PASSWORD_CHANGE,SUCCESS,Marseille,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001966,,,10.17.11.127,D0068,MFA_CHALLENGE,failed,Nantes,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004771,,U9004,10.44.111.247,D0094,LOGIN,Success,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000398,,,10.20.78.219,D0197,MFA_CHALLENGE,success,Bordeaux,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000821,03/03/2026,,10.50.203.13,D0098,MFA_CHALLENGE,SUCCESS,Toulouse,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004741,,U9003,10.6.75.32,D0091,LOGIN,success,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001070,,,10.30.82.97,D0074,VPN_CONNECT,Success,Marseille,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004192,10/03/2026,,10.36.224.213,D0075,VPN_CONNECT,success,Paris,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001779,,,10.26.244.170,D0068,MFA_CHALLENGE,success,Bordeaux,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001972,09/03/2026,,10.9.93.133,D0083,PASSWORD_CHANGE,Success,Marseille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004759,,U9001,10.22.55.130,D0075,LOGIN,SUCCESS,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003274,,,10.32.127.33,D0081,RDP_SESSION,failed,Nantes,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002664,,,10.7.210.124,D0048,PASSWORD_CHANGE,success,Lille,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004525,,,10.28.134.150,D0135,PASSWORD_CHANGE,Success,Lille,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002147,06/03/2026,,10.23.141.232,D0140,MFA_CHALLENGE,Success,Toulouse,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001794,16/03/2026,,10.15.216.197,D0200,LOGIN,SUCCESS,Lyon,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002086,,,300.300.300.300,D0088,VPN_CONNECT,FAILED,Nantes,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003006,,,10.34.37.14,D0176,VPN_CONNECT,SUCCESS,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004763,,U9001,10.42.101.88,D0170,LOGIN,SUCCESS,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001478,03/03/2026,,10.4.255.148,D0115,LOGOUT,Success,Paris,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003964,,,10.35.34.190,D0132,PASSWORD_CHANGE,SUCCESS,Nantes,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004754,,U9003,10.17.50.235,D0198,LOGIN,Success,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002656,16/03/2026,,10.11.202.54,D0003,LOGOUT,SUCCESS,Toulouse,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004750,,U9006,10.19.24.59,D0079,LOGIN,Success,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004462,,,10.37.240.73,D0103,VPN_CONNECT,success,Lille,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003545,03/03/2026,,10.37.70.168,D0084,RDP_SESSION,SUCCESS,Lyon,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001471,05/03/2026,,10.37.0.238,D0071,RDP_SESSION,Success,Paris,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004755,06/03/2026,U9002,10.12.211.230,D0047,LOGIN,success,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004760,17/03/2026,U9005,10.5.123.51,D0057,LOGIN,SUCCESS,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004746,,U9003,10.34.73.200,D0187,LOGIN,Success,Toulouse,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004748,,U9004,10.0.230.173,D0116,LOGIN,Success,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004751,06/03/2026,U9001,10.46.60.214,D0189,LOGIN,Success,Toulouse,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003318,,,10.6.197.140,D0027,LOGOUT,SUCCESS,Lyon,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004775,,U9003,10.45.107.249,D0191,LOGIN,success,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003402,,,10.27.140.166,D0178,MFA_CHALLENGE,success,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000054,,,10.14.172.178,D0093,LOGOUT,SUCCESS,Paris,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004774,,U9005,10.6.28.108,D0069,LOGIN,Success,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001872,20/03/2026,,10.43.134.25,D0013,PASSWORD_CHANGE,success,Toulouse,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000498,21/03/2026,,10.33.210.242,D0107,VPN_CONNECT,SUCCESS,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004241,16/03/2026,,10.23.137.244,D0162,MFA_CHALLENGE,success,Toulouse,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002848,22/03/2026,,10.18.174.196,D0099,LOGIN,SUCCESS,Lille,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001953,,,10.13.93.190,D0110,LOGOUT,SUCCESS,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001414,,,10.5.91.193,D0177,VPN_CONNECT,Success,Nantes,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001314,,,10.10.243.42,D0148,VPN_CONNECT,failed,Toulouse,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002153,,,10.11.173.194,D0046,LOGOUT,SUCCESS,Lyon,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004202,16/03/2026,,10.30.10.198,D0155,LOGIN,Success,Paris,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000964,,,10.23.29.196,D0101,LOGOUT,Success,Bordeaux,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003761,,,10.50.198.208,D0122,PASSWORD_CHANGE,success,Marseille,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002185,14/03/2026,,10.21.96.37,D0168,LOGOUT,SUCCESS,Paris,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003084,,,10.7.132.179,D0148,LOGIN,SUCCESS,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004765,,U9002,10.39.199.54,D0008,LOGIN,Success,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001707,,,10.47.240.61,D0110,LOGOUT,Success,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000182,,,10.50.91.80,D0172,PASSWORD_CHANGE,SUCCESS,Bordeaux,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002101,,,10.40.171.103,D0186,LOGOUT,success,Bordeaux,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000199,,,10.26.5.248,D0188,PASSWORD_CHANGE,Success,Toulouse,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000580,,,10.15.102.159,D0037,LOGIN,Success,Nantes,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004745,,U9005,10.11.202.57,D0165,LOGIN,Success,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001558,,,10.30.210.224,D0025,MFA_CHALLENGE,success,Bordeaux,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000447,,,10.42.254.203,D0145,VPN_CONNECT,Success,Paris,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000955,,,10.41.195.231,D0014,LOGIN,Success,Marseille,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001726,18/03/2026,,10.37.108.3,D0024,RDP_SESSION,Failed,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000127,,,10.47.165.147,D0129,RDP_SESSION,Success,Bordeaux,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004473,,,10.32.176.37,D0195,MFA_CHALLENGE,Success,Lyon,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003197,,,10.18.21.22,D0012,VPN_CONNECT,SUCCESS,Bordeaux,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004449,07/03/2026,,10.41.115.102,D0027,MFA_CHALLENGE,success,Lille,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003343,03/03/2026,,10.37.59.22,D0182,VPN_CONNECT,Success,Toulouse,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004266,,,10.29.20.188,D0135,PASSWORD_CHANGE,SUCCESS,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003632,10/03/2026,,10.44.185.191,D0091,RDP_SESSION,SUCCESS,Bordeaux,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002803,,,10.14.177.5,D0166,VPN_CONNECT,SUCCESS,Toulouse,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003463,,,10.36.111.89,D0025,VPN_CONNECT,success,Toulouse,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003879,15/03/2026,,abc.def.ghi.jkl,D0066,LOGIN,success,Nantes,medium,False,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003927,17/03/2026,,10.15.196.195,D0171,PASSWORD_CHANGE,success,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003824,,,10.30.239.182,D0025,MFA_CHALLENGE,success,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004773,,U9002,10.50.145.98,D0134,LOGIN,success,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004744,18/03/2026,U9003,10.18.245.120,D0009,LOGIN,success,Toulouse,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003672,03/03/2026,,10.46.194.87,D0023,RDP_SESSION,Success,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003503,,,10.43.42.52,D0023,VPN_CONNECT,Success,Lyon,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003960,13/03/2026,,10.38.103.154,D0117,LOGIN,Success,Marseille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001410,,,10.32.189.225,D0110,LOGIN,Success,Marseille,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003905,,,-1.2.3.4,D0159,LOGIN,SUCCESS,Paris,MEDIUM,False,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004766,07/03/2026,U9004,10.33.67.238,D0094,LOGIN,success,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003996,09/03/2026,,10.47.169.95,D0073,RDP_SESSION,SUCCESS,Marseille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003239,,,10.25.23.122,D0015,VPN_CONNECT,Success,Paris,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000916,,,10.50.38.191,D0114,LOGOUT,success,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004370,,,10.13.103.22,D0199,PASSWORD_CHANGE,SUCCESS,Bordeaux,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002901,,,300.300.300.300,D0096,MFA_CHALLENGE,SUCCESS,Nantes,MEDIUM,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004769,,U9003,10.28.90.14,D0172,LOGIN,Success,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004767,,U9006,10.24.247.18,D0062,LOGIN,Success,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003623,,,10.8.185.46,D0136,RDP_SESSION,success,Nantes,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003693,,,10.37.146.194,D0138,LOGOUT,SUCCESS,Paris,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002875,,,10.20.68.31,D0002,VPN_CONNECT,Success,Paris,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004742,,U9006,10.0.44.236,D0066,LOGIN,SUCCESS,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004420,,,10.45.211.225,D0121,VPN_CONNECT,success,Toulouse,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000574,,,10.16.10.180,D0188,LOGOUT,success,Lille,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004740,07/03/2026,U9005,10.9.173.66,D0137,LOGIN,Success,Lyon,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004738,,U9003,10.9.108.45,D0048,LOGIN,Success,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002991,,,10.13.187.156,D0073,LOGOUT,SUCCESS,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002812,,,10.36.214.41,D0055,LOGIN,Success,Toulouse,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001967,,,10.45.29.172,D0174,LOGIN,success,Lille,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004826,14/03/2026,,139.75.152.221,D0094,VPN_CONNECT,success,Lagos,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002977,,,10.22.61.94,D0102,PASSWORD_CHANGE,success,Paris,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002245,,,10.5.20.48,D0064,PASSWORD_CHANGE,SUCCESS,Lille,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002697,,,10.40.154.200,D0169,PASSWORD_CHANGE,SUCCESS,Lyon,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004682,,,10.11.178.210,D0032,LOGIN,FAILED,Lille,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003538,,,10.38.71.221,D0058,VPN_CONNECT,success,Nantes,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002082,,,10.0.24.230,D0183,LOGIN,Success,Lille,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003674,06/03/2026,,10.45.50.46,D0088,LOGIN,success,Toulouse,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH002253,,,10.11.226.249,D0024,LOGOUT,success,Lyon,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004686,,,10.0.0,D0001,LOGIN,FAILURE,Nantes,medium,False,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004453,07/03/2026,,10.24.179.199,D0044,VPN_CONNECT,Failed,Lille,medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004768,12/03/2026,U9001,10.5.235.59,D0184,LOGIN,success,Lille,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001146,,,10.31.195.29,D0151,LOGIN,SUCCESS,Marseille,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001150,02/03/2026,,10.5.202.142,D0151,MFA_CHALLENGE,success,Marseille,Medium,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH001132,,,10.33.201.102,D0159,LOGOUT,SUCCESS,Paris,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000854,,,10.27.170.173,D0097,LOGOUT,Success,Marseille,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH000586,,,10.0.246.123,D0029,MFA_CHALLENGE,SUCCESS,Paris,LOW,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004749,,U9006,10.14.15.146,D0192,LOGIN,success,Bordeaux,low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH004099,,,10.3.171.70,D0064,LOGOUT,SUCCESS,Marseille,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
AUTH003189,,,10.40.172.127,D0110,LOGOUT,SUCCESS,Paris,Low,True,False,ORPHAN_USER_ID (Absent de users.csv)
