user_id,department,role,employment_status,privileged_account,location
U0317,IT,Coordinator,ACTIVE,NO,Lille
U0124,RH,Engineer,ACTIVE,NO,Bordeaux
U0055,IT,Engineer,ACTIVE,NO,Marseille
U0219,RH,Analyst,ACTIVE,NO,Nantes
U0271,Communication,Director,ACTIVE,NO,Lille
U0290,Juridique,Engineer,ACTIVE,NO,Nantes
U0360,Direction,Engineer,ACTIVE,NO,Toulouse
U0238,Finance,Manager,INACTIVE,NO,Lille
U0324,Direction,Analyst,ACTIVE,NO,Lille
U0252,Finance,Engineer,ACTIVE,NO,Marseille
U0294,Finance,Engineer,ACTIVE,NO,Toulouse
U0310,Finance,Coordinator,ACTIVE,NO,Marseille
U0337,Regions,Manager,ACTIVE,YES,Lille
U0201,Direction,Coordinator,INACTIVE,NO,Marseille
U0197,Juridique,Manager,ACTIVE,NO,Lille
U0019,Regions,Analyst,ACTIVE,NO,Lyon
U0325,Communication,Coordinator,ACTIVE,NO,Lille
U0344,RH,Analyst,INACTIVE,NO,Lille
U0227,Finance,Engineer,ACTIVE,NO,Lyon
U0005,Juridique,Coordinator,ACTIVE,NO,Paris
U0039,RH,Manager,ACTIVE,NO,Marseille
U0286,Finance,Technician,ACTIVE,NO,Lyon
U0255,IT,Engineer,INACTIVE,NO,Nantes
U0247,RH,Manager,ACTIVE,YES,Lille
U0316,Communication,Director,ACTIVE,NO,Paris
U0228,Finance,Manager,INACTIVE,NO,Nantes
U0293,IT,Manager,ACTIVE,NO,Paris
U0340,Finance,Technician,ACTIVE,NO,Marseille
U0390,Finance,Manager,ACTIVE,NO,Paris
U0063,IT,Analyst,INACTIVE,NO,Lyon
U0176,Juridique,Analyst,ACTIVE,NO,Paris
U0053,Finance,Analyst,ACTIVE,NO,Lille
U0223,Direction,Technician,ACTIVE,NO,Lyon
U0283,Juridique,Technician,INACTIVE,NO,Paris
U0002,Direction,Analyst,ACTIVE,NO,Marseille
U0320,Regions,Manager,ACTIVE,NO,Bordeaux
U0230,Direction,Analyst,ACTIVE,NO,Lille
U0389,RH,Director,ACTIVE,NO,Marseille
U0311,Finance,Assistant,ACTIVE,NO,Bordeaux
U0030,Juridique,Director,ACTIVE,NO,Lyon
U0256,Communication,Director,ACTIVE,NO,Lyon
U0209,RH,Director,INACTIVE,NO,Paris
U0052,IT,Director,INACTIVE,NO,Lille
U0222,RH,Technician,ACTIVE,NO,Toulouse
U0196,RH,Director,ACTIVE,YES,Marseille
U0266,Communication,Assistant,ACTIVE,NO,Nantes
U0025,Juridique,Engineer,ACTIVE,NO,Marseille
U0336,RH,Manager,ACTIVE,NO,Toulouse
U0300,Communication,Manager,ACTIVE,NO,Lille
U0331,RH,Manager,ACTIVE,NO,Marseille
U0033,Juridique,Engineer,ACTIVE,NO,Marseille
U0259,Communication,Analyst,ACTIVE,NO,Bordeaux
U0064,Regions,Director,ACTIVE,YES,Lille
U0237,IT,Technician,INACTIVE,NO,Lyon
U0153,Juridique,Technician,ACTIVE,NO,Lille
U0048,Direction,Analyst,ACTIVE,NO,Marseille
U0142,IT,Analyst,ACTIVE,NO,Lyon
U0060,Communication,Analyst,ACTIVE,NO,Lyon
U0371,Direction,Assistant,ACTIVE,NO,Lyon
U0348,Direction,Director,INACTIVE,NO,Lille
U0289,IT,Coordinator,ACTIVE,NO,Lille
U0321,Juridique,Analyst,ACTIVE,NO,Nantes
U0386,Regions,Director,ACTIVE,NO,Bordeaux
U0258,Direction,Engineer,ACTIVE,NO,Toulouse
U0303,IT,Assistant,ACTIVE,NO,Lyon
U0007,IT,Director,ACTIVE,YES,Paris
U0109,Juridique,Assistant,ACTIVE,NO,Bordeaux
U0334,Communication,Coordinator,ACTIVE,NO,Toulouse
U0392,Direction,Director,ACTIVE,NO,Lille
U0144,Juridique,Director,ACTIVE,NO,Lille
U0241,IT,Director,ACTIVE,NO,Bordeaux
U0120,Communication,Engineer,INACTIVE,NO,Toulouse
U0326,Direction,Engineer,ACTIVE,YES,Marseille
U0189,RH,Analyst,ACTIVE,NO,Lille
U0086,IT,Technician,ACTIVE,NO,Paris
U0301,Regions,Manager,ACTIVE,NO,Toulouse
U0224,Finance,Analyst,ACTIVE,NO,Bordeaux
U0016,IT,Engineer,ACTIVE,NO,Lyon
U0361,Communication,Assistant,ACTIVE,NO,Lyon
U0077,Direction,Assistant,ACTIVE,YES,Bordeaux
U0373,RH,Assistant,ACTIVE,NO,Toulouse
U0022,Regions,Manager,ACTIVE,NO,Paris
U0169,Regions,Coordinator,ACTIVE,NO,Lyon
U0204,Regions,Engineer,ACTIVE,NO,Marseille
U0285,Finance,Technician,ACTIVE,NO,Nantes
U0206,Juridique,Assistant,ACTIVE,NO,Bordeaux
U0279,RH,Coordinator,ACTIVE,NO,Paris
U0066,Regions,Engineer,INACTIVE,NO,Nantes
U0221,Finance,Manager,ACTIVE,NO,Nantes
U0333,Finance,Technician,ACTIVE,NO,Marseille
U0107,Communication,Director,ACTIVE,NO,Lille
U0291,Direction,Technician,ACTIVE,NO,Paris
U0149,Regions,Technician,ACTIVE,NO,Toulouse
U0281,IT,Analyst,INACTIVE,NO,Lille
U0329,Finance,Director,ACTIVE,NO,Nantes
U0128,IT,Coordinator,ACTIVE,NO,Paris
U0041,RH,Assistant,ACTIVE,NO,Marseille
U0234,Regions,Assistant,ACTIVE,NO,Lille
U0378,IT,Analyst,ACTIVE,NO,Lille
U0047,Regions,Manager,INACTIVE,NO,Paris
U0038,RH,Analyst,ACTIVE,NO,Nantes
U0215,RH,Engineer,ACTIVE,NO,Marseille
U0180,Regions,Director,ACTIVE,NO,Paris
U0135,Juridique,Assistant,ACTIVE,NO,Lyon
U0370,IT,Manager,ACTIVE,NO,Toulouse
U0163,IT,Manager,ACTIVE,YES,Bordeaux
U0168,Regions,Assistant,ACTIVE,NO,Marseille
U0278,Regions,Coordinator,ACTIVE,NO,Toulouse
U0314,Communication,Analyst,ACTIVE,NO,Marseille
U0087,RH,Assistant,ACTIVE,NO,Nantes
U0335,Communication,Coordinator,ACTIVE,NO,Paris
U0387,Juridique,Manager,ACTIVE,NO,Lyon
U0191,Communication,Analyst,ACTIVE,NO,Paris
U0165,IT,Coordinator,ACTIVE,NO,Nantes
U0113,IT,Engineer,ACTIVE,YES,Paris
U0101,Regions,Coordinator,ACTIVE,NO,Paris
U0014,IT,Technician,ACTIVE,NO,Nantes
U0088,Finance,Engineer,ACTIVE,NO,Lyon
U0345,Direction,Engineer,ACTIVE,NO,Lyon
U0043,Juridique,Assistant,ACTIVE,NO,Toulouse
U0363,RH,Analyst,ACTIVE,NO,Paris
U0207,Juridique,Assistant,ACTIVE,NO,Bordeaux
U0353,Regions,Analyst,INACTIVE,NO,Toulouse
U0100,RH,Manager,INACTIVE,NO,Bordeaux
U0045,Juridique,Coordinator,ACTIVE,NO,Bordeaux
U0307,Communication,Engineer,ACTIVE,NO,Lille
U0362,IT,Engineer,ACTIVE,NO,Paris
U0249,IT,Engineer,ACTIVE,NO,Lille
U0308,Finance,Director,ACTIVE,NO,Marseille
U0297,Direction,Director,ACTIVE,NO,Marseille
U0262,Juridique,Manager,ACTIVE,NO,Lille
U0328,Juridique,Engineer,ACTIVE,NO,Nantes
U0350,RH,Manager,ACTIVE,NO,Bordeaux
U0006,Finance,Engineer,ACTIVE,NO,Bordeaux
U0098,RH,Director,ACTIVE,NO,Nantes
U0217,Direction,Assistant,ACTIVE,NO,Lille
U0183,Communication,Director,ACTIVE,NO,Marseille
U0119,IT,Assistant,ACTIVE,NO,Marseille
U0164,Communication,Analyst,INACTIVE,NO,Nantes
U0057,RH,Engineer,ACTIVE,NO,Lille
U0157,Communication,Director,ACTIVE,NO,Nantes
U0017,Direction,Engineer,ACTIVE,NO,Lille
U0380,Communication,Coordinator,ACTIVE,NO,Marseille
U0299,Juridique,Technician,ACTIVE,NO,Toulouse
U0080,Direction,Director,ACTIVE,NO,Bordeaux
U0195,Juridique,Coordinator,INACTIVE,NO,Lille
U0178,Direction,Coordinator,ACTIVE,NO,Lyon
U0339,Finance,Analyst,ACTIVE,NO,Nantes
U0231,Regions,Coordinator,ACTIVE,NO,Toulouse
U0382,Finance,Manager,ACTIVE,NO,Marseille
U0268,Juridique,Engineer,ACTIVE,NO,Paris
U0214,Finance,Engineer,ACTIVE,NO,Marseille
U0117,IT,Engineer,ACTIVE,NO,Paris
U0272,Regions,Technician,ACTIVE,NO,Bordeaux
U0151,Juridique,Manager,ACTIVE,NO,Marseille
U0156,Finance,Director,ACTIVE,NO,Lille
U0138,IT,Analyst,INACTIVE,NO,Toulouse
U0075,Juridique,Manager,ACTIVE,NO,Nantes
U0125,Regions,Coordinator,ACTIVE,NO,Paris
U0323,Juridique,Analyst,ACTIVE,NO,Lyon
U0251,Communication,Analyst,ACTIVE,NO,Marseille
U0304,Communication,Director,ACTIVE,NO,Toulouse
U0051,Finance,Director,ACTIVE,YES,Paris
U0192,Regions,Director,ACTIVE,NO,Lyon
U0036,RH,Analyst,ACTIVE,NO,Toulouse
U0306,Regions,Analyst,ACTIVE,NO,Marseille
U0212,Juridique,Analyst,ACTIVE,NO,Marseille
U0032,Regions,Analyst,ACTIVE,NO,Toulouse
U0068,Juridique,Assistant,ACTIVE,NO,Toulouse
U0143,RH,Manager,INACTIVE,NO,Nantes
U0243,Finance,Engineer,ACTIVE,NO,Marseille
U0058,IT,Assistant,ACTIVE,NO,Toulouse
U0136,IT,Engineer,ACTIVE,NO,Marseille
U0028,IT,Technician,ACTIVE,NO,Nantes
U0102,Regions,Assistant,ACTIVE,NO,Bordeaux
U0347,Finance,Assistant,ACTIVE,NO,Lille
U0182,Direction,Engineer,ACTIVE,NO,Nantes
U0364,Finance,Assistant,ACTIVE,NO,Lyon
U0225,Juridique,Engineer,ACTIVE,NO,Bordeaux
U0187,Regions,Engineer,ACTIVE,NO,Paris
U0159,Juridique,Assistant,ACTIVE,NO,Toulouse
U0185,Communication,Assistant,ACTIVE,NO,Marseille
U0132,Communication,Engineer,ACTIVE,NO,Lille
U0106,Direction,Manager,ACTIVE,NO,Marseille
U0091,RH,Assistant,ACTIVE,NO,Paris
U0021,RH,Engineer,ACTIVE,NO,Nantes
U0078,Direction,Director,ACTIVE,YES,Lille
U0001,Communication,Analyst,ACTIVE,NO,Lille
U0244,RH,Assistant,INACTIVE,NO,Lyon
U0111,Regions,Coordinator,ACTIVE,NO,Toulouse
U0395,IT,Director,ACTIVE,NO,Lyon
U0236,Direction,Engineer,ACTIVE,NO,Lille
U0082,Juridique,Analyst,ACTIVE,NO,Lille
U0199,Finance,Analyst,ACTIVE,NO,Bordeaux
U0188,Juridique,Coordinator,ACTIVE,NO,Marseille
U0177,Juridique,Manager,ACTIVE,NO,Marseille
U0346,RH,Analyst,ACTIVE,NO,Nantes
U0020,Direction,Technician,ACTIVE,NO,Bordeaux
U0073,Communication,Manager,ACTIVE,NO,Bordeaux
U0313,Communication,Director,ACTIVE,NO,Paris
U0368,Regions,Technician,ACTIVE,YES,Lille
U0181,Finance,Engineer,ACTIVE,NO,Toulouse
U0155,Juridique,Manager,ACTIVE,NO,Lille
U0352,Direction,Director,ACTIVE,NO,Bordeaux
U0351,Regions,Analyst,ACTIVE,NO,Marseille
U0071,IT,Analyst,ACTIVE,NO,Nantes
U0126,Juridique,Coordinator,ACTIVE,NO,Toulouse
U0150,Finance,Technician,ACTIVE,NO,Bordeaux
U0003,RH,Manager,ACTIVE,NO,Lille
U0012,Finance,Coordinator,ACTIVE,NO,Marseille
U0137,Juridique,Assistant,ACTIVE,NO,Nantes
U0040,Communication,Assistant,ACTIVE,NO,Toulouse
U0104,Direction,Engineer,ACTIVE,NO,Lille
U0008,Regions,Technician,ACTIVE,NO,Lyon
U0226,Communication,Analyst,ACTIVE,NO,Marseille
U0054,Juridique,Assistant,ACTIVE,NO,Toulouse
U0009,Communication,Director,ACTIVE,NO,Nantes
U0295,Communication,Assistant,ACTIVE,YES,Lyon
U0145,Regions,Engineer,ACTIVE,YES,Lyon
U0079,Regions,Technician,INACTIVE,NO,Marseille
U0042,Finance,Manager,INACTIVE,NO,Lyon
U0121,IT,Coordinator,ACTIVE,NO,Marseille
U0246,Regions,Manager,ACTIVE,NO,Toulouse
U0134,IT,Director,ACTIVE,NO,Lille
U0349,Regions,Analyst,ACTIVE,NO,Bordeaux
U0129,Juridique,Technician,ACTIVE,NO,Lille
U0284,Finance,Assistant,ACTIVE,NO,Lille
U0372,Direction,Coordinator,ACTIVE,NO,Nantes
U0213,Direction,Assistant,ACTIVE,NO,Marseille
U0074,Finance,Coordinator,ACTIVE,NO,Bordeaux
U0282,Direction,Assistant,ACTIVE,NO,Paris
U0245,RH,Assistant,ACTIVE,NO,Lille
U0090,Regions,Manager,ACTIVE,NO,Lyon
U0190,IT,Manager,ACTIVE,YES,Toulouse
U0130,Finance,Director,ACTIVE,NO,Lille
U0235,Communication,Assistant,ACTIVE,NO,Lille
U0148,Regions,Engineer,ACTIVE,NO,Marseille
U0186,Juridique,Coordinator,ACTIVE,NO,Lyon
U0242,RH,Analyst,ACTIVE,NO,Toulouse
U0184,Juridique,Engineer,ACTIVE,NO,Paris
U0174,Regions,Director,ACTIVE,NO,Toulouse
U0269,IT,Analyst,ACTIVE,NO,Toulouse
U0210,Juridique,Director,ACTIVE,NO,Lyon
U0029,Juridique,Engineer,ACTIVE,NO,Toulouse
U0330,Finance,Coordinator,ACTIVE,YES,Marseille
U0354,Finance,Engineer,ACTIVE,NO,Lille
U0175,RH,Engineer,ACTIVE,YES,Lille
U0338,Juridique,Technician,ACTIVE,NO,Lille
U0085,Regions,Assistant,ACTIVE,NO,Toulouse
U0059,Regions,Engineer,ACTIVE,YES,Marseille
U0147,Juridique,Director,ACTIVE,NO,Nantes
U0152,Finance,Engineer,ACTIVE,NO,Bordeaux
U0356,Juridique,Technician,ACTIVE,NO,Lille
U0296,RH,Engineer,ACTIVE,NO,Toulouse
U0216,RH,Manager,ACTIVE,NO,Bordeaux
U0198,Communication,Manager,ACTIVE,NO,Marseille
U0229,Juridique,Director,ACTIVE,YES,Marseille
U0267,Direction,Director,ACTIVE,NO,Paris
U0127,Juridique,Analyst,ACTIVE,NO,Marseille
U0044,RH,Coordinator,INACTIVE,NO,Lyon
U0264,Juridique,Director,ACTIVE,NO,Lille
U0092,RH,Assistant,ACTIVE,NO,Marseille
U0332,Direction,Technician,ACTIVE,NO,Nantes
U0203,Finance,Technician,ACTIVE,NO,Lille
U0302,Finance,Technician,ACTIVE,NO,Nantes
U0350,RH,Manager,ACTIVE,NO,Bordeaux
U0377,Direction,Coordinator,ACTIVE,NO,Toulouse
U0194,Finance,Director,ACTIVE,NO,Paris
U0385,Finance,Engineer,ACTIVE,NO,Paris
U0037,Communication,Director,ACTIVE,NO,Marseille
U0280,Finance,Coordinator,ACTIVE,YES,Paris
U0261,Finance,Analyst,ACTIVE,NO,Lille
U0358,Juridique,Engineer,ACTIVE,YES,Lille
U0200,Direction,Assistant,ACTIVE,YES,Bordeaux
U0319,RH,Coordinator,ACTIVE,NO,Lille
U0366,IT,Assistant,ACTIVE,NO,Paris
U0094,IT,Analyst,ACTIVE,NO,Paris
U0097,Regions,Engineer,ACTIVE,NO,Marseille
U0391,Finance,Analyst,ACTIVE,NO,Marseille
U0202,Communication,Technician,ACTIVE,NO,Nantes
U0394,RH,Coordinator,ACTIVE,NO,Marseille
U0118,Finance,Analyst,ACTIVE,NO,Nantes
U0379,Regions,Analyst,ACTIVE,NO,Bordeaux
U0309,Finance,Director,ACTIVE,NO,Bordeaux
U0011,Juridique,Engineer,ACTIVE,NO,Paris
U0172,Communication,Director,INACTIVE,NO,Toulouse
U0167,Juridique,Engineer,ACTIVE,NO,Bordeaux
U0046,Direction,Assistant,INACTIVE,NO,Marseille
U0232,Communication,Manager,ACTIVE,NO,Toulouse
U0384,Regions,Coordinator,ACTIVE,NO,Lille
U0027,Regions,Manager,INACTIVE,NO,Paris
U0343,RH,Engineer,ACTIVE,NO,Marseille
U0365,RH,Assistant,ACTIVE,NO,Bordeaux
U0116,Communication,Coordinator,ACTIVE,NO,Nantes
U0114,RH,Analyst,ACTIVE,NO,Lyon
U0035,Juridique,Coordinator,ACTIVE,NO,Nantes
U0108,Finance,Engineer,ACTIVE,NO,Bordeaux
U0122,Regions,Manager,ACTIVE,NO,Bordeaux
U0179,RH,Technician,ACTIVE,NO,Lille
U0322,Communication,Director,INACTIVE,NO,Lille
U0357,Finance,Engineer,ACTIVE,NO,Paris
U0158,Direction,Analyst,ACTIVE,NO,Marseille
U0162,IT,Engineer,INACTIVE,NO,Marseille
U0315,IT,Technician,ACTIVE,NO,Toulouse
U0367,IT,Engineer,INACTIVE,NO,Lyon
U0239,RH,Technician,ACTIVE,NO,Nantes
U0004,IT,Coordinator,ACTIVE,NO,Nantes
U0257,Finance,Analyst,ACTIVE,NO,Lille
U0133,Communication,Analyst,ACTIVE,NO,Paris
U0250,Communication,Manager,ACTIVE,NO,Paris
U0359,Finance,Coordinator,ACTIVE,NO,Marseille
U0375,RH,Assistant,ACTIVE,NO,Toulouse
U0031,Direction,Manager,ACTIVE,NO,Marseille
U0254,Direction,Assistant,ACTIVE,NO,Marseille
U0233,IT,Assistant,ACTIVE,NO,Toulouse
U0072,Direction,Engineer,ACTIVE,NO,Paris
U0383,Direction,Engineer,ACTIVE,NO,Lille
U0220,Communication,Director,INACTIVE,NO,Lyon
U0218,IT,Analyst,ACTIVE,YES,Lyon
U0110,Finance,Director,ACTIVE,NO,Lyon
U0253,Communication,Analyst,INACTIVE,NO,Marseille
U0369,Regions,Coordinator,ACTIVE,YES,Lille
U0277,Finance,Manager,ACTIVE,NO,Bordeaux
U0274,Finance,Coordinator,ACTIVE,NO,Toulouse
U0318,IT,Engineer,ACTIVE,NO,Paris
U0208,Regions,Assistant,ACTIVE,NO,Lyon
U0023,Juridique,Coordinator,ACTIVE,NO,Marseille
U0275,Juridique,Engineer,ACTIVE,NO,Marseille
U0010,Direction,Analyst,ACTIVE,NO,Bordeaux
U0154,Juridique,Analyst,ACTIVE,NO,Marseille
U0034,Finance,Assistant,ACTIVE,NO,Bordeaux
U0211,Direction,Assistant,ACTIVE,NO,Lyon
U0240,Communication,Analyst,ACTIVE,NO,Lille
U0376,Finance,Manager,ACTIVE,NO,Marseille
U0355,Regions,Engineer,ACTIVE,NO,Lyon
U0015,Communication,Manager,ACTIVE,NO,Lille
U0083,IT,Engineer,ACTIVE,NO,Nantes
U0099,IT,Analyst,ACTIVE,NO,Nantes
U0061,Finance,Assistant,ACTIVE,NO,Paris
U0095,RH,Technician,ACTIVE,NO,Nantes
U0170,Finance,Analyst,ACTIVE,NO,Lyon
U0270,Communication,Engineer,ACTIVE,NO,Nantes
U0327,IT,Engineer,INACTIVE,NO,Paris
U0139,IT,Assistant,ACTIVE,NO,Lyon
U0024,Juridique,Assistant,ACTIVE,NO,Lille
U0173,Juridique,Director,ACTIVE,NO,Lille
U0166,Regions,Analyst,ACTIVE,NO,Nantes
U0115,IT,Engineer,ACTIVE,NO,Lyon
U0205,Communication,Analyst,ACTIVE,NO,Lille
U0112,Finance,Coordinator,ACTIVE,NO,Toulouse
U0070,Regions,Analyst,ACTIVE,NO,Marseille
U0273,Communication,Engineer,ACTIVE,NO,Toulouse
U0131,Communication,Analyst,ACTIVE,YES,Paris
