event_id,timestamp,user_id,src_ip,device_id,event_type,authentication_result,location,severity
AUTH000309,2026-03-19T16:59:05Z,U0243,10.28.137.174,D0046,RDP_SESSION,Success,Toulouse,Medium
AUTH002180,10/03/2026 18:28,U0305,10.10.31.190,D0044,VPN_CONNECT,success,Toulouse,low
AUTH002688,2026-03-09 15:25:07,U0158,10.4.199.242,D0054,RDP_SESSION,SUCCESS,Toulouse,LOW
AUTH001379,2026-03-14 17:56:40,U0371,10.35.24.78,D0198,MFA_CHALLENGE,success,Marseille,LOW
AUTH001622,03/03/2026 17:40,U0139,10.30.11.181,D0029,RDP_SESSION,SUCCESS,Bordeaux,medium
AUTH003678,2026-03-03 11:47:36,U0125,10.49.114.238,D0169,VPN_CONNECT,Success,Lille,Low
AUTH004397,21/03/2026 17:37,U0190,10.22.137.150,D0157,VPN_CONNECT,success,Nantes,medium
AUTH002756,2026-03-11T14:51:41Z,U0150,10.42.125.38,D0051,LOGIN,success,Paris,Medium
AUTH001922,14/03/2026 13:16,U0260,10.12.180.85,D0076,LOGOUT,Success,Toulouse,Low
AUTH000148,11/03/2026 10:48,U0058,10.48.196.146,D0080,VPN_CONNECT,Success,Marseille,low
AUTH004838,2026-03-08T14:06:44Z,U0196,99.29.47.39,D0144,VPN_CONNECT,success,Bucharest,medium
AUTH002773,12/03/2026 18:48,U0345,10.33.247.153,D0142,RDP_SESSION,Success,Nantes,LOW
AUTH000593,06/03/2026 14:32,U0005,10.6.202.63,D0172,PASSWORD_CHANGE,Success,Marseille,Medium
AUTH002250,17/03/2026 14:33,U0261,10.2.82.218,D0124,PASSWORD_CHANGE,SUCCESS,Marseille,low
AUTH004105,16/03/2026 12:11,U0288,10.22.23.58,D0058,PASSWORD_CHANGE,SUCCESS,Paris,LOW
AUTH004181,2026-03-03 10:31:38,U0355,10.15.180.124,D0065,PASSWORD_CHANGE,success,Bordeaux,Medium
AUTH000909,2026-03-21 08:54:10,U0377,10.24.19.171,D0012,LOGIN,Success,Paris,Low
AUTH002011,2026-03-10T17:50:50Z,U0168,10.0.120.57,D0153,VPN_CONNECT,failed,Nantes,medium
AUTH004219,13/03/2026 14:12,U0125,10.20.178.8,D0043,PASSWORD_CHANGE,SUCCESS,Lyon,MEDIUM
AUTH000731,20/03/2026 13:33,U0225,10.24.53.17,D0039,RDP_SESSION,success,Paris,low
AUTH002179,13/03/2026 10:24,U0004,10.46.124.215,D0099,VPN_CONNECT,SUCCESS,Bordeaux,LOW
AUTH000061,2026-03-19T09:05:36Z,U0177,10.20.40.169,D0145,LOGIN,Success,Toulouse,low
AUTH003095,2026-03-05T09:17:39Z,U0124,10.16.50.12,D0097,LOGIN,FAILED,Toulouse,Medium
AUTH003788,15/03/2026 10:05,U0190,10.13.240.106,D0087,LOGIN,SUCCESS,Lyon,MEDIUM
AUTH000388,2026-03-07 16:30:12,U0051,10.18.76.224,D0155,RDP_SESSION,success,Bordeaux,medium
AUTH001064,2026-03-07 15:22:12,U0338,10.6.99.45,D0173,MFA_CHALLENGE,failed,Bordeaux,medium
AUTH001670,2026-03-04 12:36:13,U0176,10.25.219.39,D0127,LOGOUT,SUCCESS,Paris,LOW
AUTH003178,13/03/2026 03:17,U0227,10.36.201.206,D0012,VPN_CONNECT,success,Toulouse,LOW
AUTH001603,2026-03-07T18:42:18Z,U0165,10.5.55.219,D0109,LOGOUT,SUCCESS,Lyon,Medium
AUTH001735,2026-03-16 12:50:22,U0141,10.12.204.39,D0091,MFA_CHALLENGE,success,Toulouse,low
AUTH003684,2026-03-02T14:48:44Z,U0328,10.50.214.198,D0125,PASSWORD_CHANGE,success,Nantes,medium
AUTH003738,09/03/2026 19:36,U0089,10.15.122.151,D0155,MFA_CHALLENGE,Success,Marseille,medium
AUTH000372,2026-03-04T12:47:33Z,U0330,10.32.169.111,D0010,LOGIN,Success,Lille,low
AUTH001411,2026-03-07 19:20:43,U0012,10.13.110.73,D0012,MFA_CHALLENGE,success,Marseille,Medium
AUTH002442,2026-03-11 18:10:27,U0214,10.8.84.184,D0107,RDP_SESSION,Success,Nantes,MEDIUM
AUTH001257,02/03/2026 17:38,U0154,10.28.104.243,D0197,PASSWORD_CHANGE,Success,Lille,Medium
AUTH002063,2026-03-03 13:03:37,U0261,10.42.37.29,D0069,PASSWORD_CHANGE,Success,Nantes,medium
AUTH001278,04/03/2026 13:17,U0051,10.6.27.51,D0141,MFA_CHALLENGE,Success,Bordeaux,LOW
AUTH003387,2026-03-04 14:51:08,U0381,10.15.42.164,D0035,MFA_CHALLENGE,Success,Marseille,MEDIUM
AUTH003916,2026-03-15T18:46:23Z,U0227,10.24.68.172,D0113,PASSWORD_CHANGE,Success,Nantes,medium
AUTH002678,2026-03-22 18:29:39,U0006,10.36.91.206,D0020,LOGOUT,Success,Bordeaux,MEDIUM
AUTH003980,2026-03-13T19:11:40Z,U0090,10.34.167.178,D0130,LOGIN,success,Nantes,low
AUTH004209,2026-03-12 19:59:46,U0129,10.42.155.202,D0015,RDP_SESSION,Success,Nantes,MEDIUM
AUTH000533,2026-03-18T15:06:09Z,U0229,10.7.247.203,D0133,LOGIN,success,Lille,MEDIUM
AUTH003199,03/03/2026 10:43,U0226,10.44.226.113,D0152,PASSWORD_CHANGE,success,Toulouse,Medium
AUTH002217,18/03/2026 09:08,U0175,10.48.5.90,D0193,LOGOUT,success,Bordeaux,low
AUTH003026,2026-03-18T18:27:29Z,U0028,10.18.220.136,D0115,LOGOUT,SUCCESS,Lyon,MEDIUM
AUTH001957,2026-03-10T11:39:15Z,U0266,10.29.49.195,D0148,RDP_SESSION,Success,Marseille,Medium
AUTH003176,2026-03-21 16:36:59,U0294,10.21.247.64,D0027,MFA_CHALLENGE,SUCCESS,Lille,low
AUTH002184,2026-03-04T12:47:49Z,U0337,10.3.198.134,D0181,LOGIN,Success,Nantes,low
AUTH002337,11/03/2026 14:38,U0260,10.45.12.188,D0160,MFA_CHALLENGE,SUCCESS,Paris,low
AUTH002465,2026-03-12T09:18:45Z,U0361,10.23.106.249,D0065,PASSWORD_CHANGE,success,Marseille,MEDIUM
AUTH001001,09/03/2026 13:40,U0189,10.0.132.115,D0011,PASSWORD_CHANGE,success,Toulouse,LOW
AUTH002494,2026-03-16T13:34:49Z,U0299,10.32.72.149,D0168,MFA_CHALLENGE,Success,Marseille,Low
AUTH002957,2026-03-06T12:24:36Z,U0108,10.42.38.248,D0167,LOGOUT,Success,Marseille,low
AUTH004291,2026-03-18 10:40:02,U0329,10.20.184.126,D0135,LOGIN,SUCCESS,Toulouse,LOW
AUTH000716,2026-03-11 08:48:56,U0309,10.32.29.153,D0057,RDP_SESSION,SUCCESS,Lyon,Medium
AUTH002698,2026-03-16T10:20:19Z,U0349,10.19.186.133,D0007,LOGOUT,SUCCESS,Nantes,medium
AUTH000007,09/03/2026 11:01,U0211,10.31.185.212,D0102,PASSWORD_CHANGE,Success,Toulouse,LOW
AUTH002247,2026-03-08T16:16:26Z,U0207,10.13.83.148,D0128,RDP_SESSION,success,Toulouse,Medium
AUTH004376,2026-03-13T12:51:36Z,U0048,10.17.27.52,D0185,LOGIN,SUCCESS,Bordeaux,medium
AUTH002493,2026-03-14 11:23:43,U0176,10.15.11.43,D0044,PASSWORD_CHANGE,SUCCESS,Marseille,medium
AUTH004027,2026-03-21T19:34:51Z,U0161,10.17.250.19,D0051,LOGIN,SUCCESS,Bordeaux,medium
AUTH004272,2026-03-20T11:33:49Z,U0048,10.15.113.146,D0147,PASSWORD_CHANGE,Failed,Lyon,low
AUTH000125,2026-03-06 19:32:55,U0174,10.36.220.42,D0167,MFA_CHALLENGE,SUCCESS,Lille,LOW
AUTH004537,2026-03-22 04:51:25,U0376,999.1.1.1,D0162,PASSWORD_CHANGE,SUCCESS,Paris,LOW
AUTH003455,18/03/2026 15:51,U0174,10.13.98.19,D0200,MFA_CHALLENGE,SUCCESS,Toulouse,low
AUTH004418,2026-03-17T14:34:55Z,U0215,10.23.64.102,D0088,RDP_SESSION,Success,Marseille,MEDIUM
AUTH003517,02/03/2026 14:36,U0325,10.17.170.111,D0139,PASSWORD_CHANGE,success,Nantes,MEDIUM
AUTH004345,2026-03-16T15:38:14Z,U0185,10.47.166.43,D0103,MFA_CHALLENGE,Success,Lyon,MEDIUM
AUTH001389,2026-03-12 10:01:06,U0086,10.5.110.103,D0174,LOGOUT,SUCCESS,Lyon,medium
AUTH001640,2026-03-08 14:16:07,U0359,10.44.42.224,D0042,RDP_SESSION,SUCCESS,Lyon,medium
AUTH003602,2026-03-21 17:00:14,U0037,10.5.241.160,D0016,VPN_CONNECT,success,Toulouse,MEDIUM
AUTH000340,15/03/2026 12:59,U0132,10.29.211.90,D0062,RDP_SESSION,Success,Toulouse,MEDIUM
AUTH000118,08/03/2026 10:00,U0035,10.3.160.22,D0167,PASSWORD_CHANGE,SUCCESS,Marseille,Low
AUTH003479,07/03/2026 15:42,U0024,10.16.249.209,D0010,PASSWORD_CHANGE,Success,Bordeaux,low
AUTH000243,2026-03-10 15:38:57,U0032,10.16.173.139,D0052,VPN_CONNECT,Success,Toulouse,medium
AUTH000891,10/03/2026 19:47,U0073,10.36.28.252,D0018,LOGOUT,success,Lille,MEDIUM
AUTH000253,10/03/2026 08:36,U0124,10.42.206.147,D0056,LOGOUT,Success,Toulouse,MEDIUM
AUTH000443,2026-03-14T18:17:08Z,U0328,10.36.123.62,D0048,LOGOUT,FAILED,Paris,Low
AUTH004120,2026-03-21 13:57:27,U0005,10.35.140.194,D0094,LOGIN,Success,Bordeaux,low
AUTH001543,2026-03-16 19:37:28,U0057,10.12.191.186,D0099,PASSWORD_CHANGE,SUCCESS,Bordeaux,medium
AUTH003438,2026-03-12 14:04:02,U0107,10.34.194.148,D0144,LOGIN,SUCCESS,Marseille,low
AUTH002487,2026-03-09T13:09:07Z,U0103,10.29.34.164,D0115,MFA_CHALLENGE,Success,Nantes,Medium
AUTH001773,2026-03-10T13:07:28Z,U0269,10.48.15.71,D0013,RDP_SESSION,Success,Toulouse,medium
AUTH000951,2026-03-07 15:54:13,U0312,10.24.34.54,D0044,VPN_CONNECT,FAILED,Paris,Low
AUTH001360,06/03/2026 12:48,U0206,10.45.112.79,D0027,MFA_CHALLENGE,success,Nantes,low
AUTH000448,2026-03-11 10:25:46,U0320,10.20.174.81,D0091,VPN_CONNECT,SUCCESS,Marseille,Low
AUTH001528,2026-03-09 09:57:13,U0331,10.46.28.206,D0053,LOGIN,SUCCESS,Lille,LOW
AUTH002006,05/03/2026 19:06,U0326,10.35.132.233,D0030,PASSWORD_CHANGE,SUCCESS,Lyon,medium
AUTH001271,2026-03-03 11:21:18,U0193,10.26.44.188,D0155,VPN_CONNECT,SUCCESS,Paris,MEDIUM
AUTH004553,2026-03-20 11:36:12,U0095,10.35.193.222,D0065,LOGIN,success,Lyon,Low
AUTH003587,2026-03-09T19:10:11Z,U0331,10.23.102.37,D0080,LOGIN,success,Nantes,medium
AUTH000683,2026-03-12T10:53:17Z,U0092,10.13.199.196,D0059,VPN_CONNECT,Success,Lyon,LOW
AUTH003644,2026-03-16 12:49:10,U0246,10.13.62.235,D0047,VPN_CONNECT,FAILED,Paris,Medium
AUTH004567,2026-03-18T10:57:51Z,U0175,10.40.187.177,D0131,MFA_CHALLENGE,Success,Bordeaux,Low
AUTH003873,2026-03-12T17:23:20Z,U0330,10.43.195.121,D0028,VPN_CONNECT,Success,Lyon,LOW
AUTH002027,2026-03-02 02:50:24,U0226,10.39.189.42,D0041,MFA_CHALLENGE,SUCCESS,Lille,LOW
AUTH002338,2026-03-09T15:18:30Z,U0357,10.39.251.142,D0194,PASSWORD_CHANGE,Success,Toulouse,LOW
AUTH000649,21/03/2026 14:26,U0057,10.27.14.167,D0054,MFA_CHALLENGE,SUCCESS,Lille,Medium
AUTH000046,2026-03-19T13:38:17Z,U0114,10.40.193.180,D0154,RDP_SESSION,Success,Lyon,medium
AUTH000741,2026-03-22T19:15:52Z,U0080,10.41.229.68,D0057,RDP_SESSION,Success,Lyon,Low
AUTH004416,2026-03-21T12:57:58Z,U0022,10.33.37.70,D0173,VPN_CONNECT,Success,Nantes,Medium
AUTH002069,2026-03-22 02:44:27,U0118,192.168.1.256,D0051,LOGOUT,Success,Marseille,medium
AUTH001269,19/03/2026 18:39,U0235,10.37.4.217,D0156,MFA_CHALLENGE,Success,Bordeaux,MEDIUM
AUTH001886,2026-03-07 17:46:24,U0306,10.0.76.18,D0178,PASSWORD_CHANGE,success,Marseille,LOW
AUTH002416,2026-03-08 18:20:22,U0075,10.40.33.175,D0109,PASSWORD_CHANGE,SUCCESS,Bordeaux,Medium
AUTH001863,2026-03-16T18:50:46Z,U0129,10.40.104.17,D0141,PASSWORD_CHANGE,Success,Bordeaux,MEDIUM
AUTH003838,2026-03-22 18:45:36,U0159,10.49.68.100,D0023,VPN_CONNECT,SUCCESS,Nantes,low
AUTH000947,2026-03-19 08:25:29,U0060,10.36.123.193,D0097,PASSWORD_CHANGE,success,Lyon,low
AUTH004036,2026-03-19T11:20:39Z,U0316,10.44.223.36,D0016,VPN_CONNECT,success,Toulouse,Medium
AUTH003430,2026-03-21T17:29:50Z,U0028,10.18.59.215,D0009,MFA_CHALLENGE,SUCCESS,Paris,Low
AUTH002380,2026-03-02 13:33:53,U0337,10.20.44.46,D0094,PASSWORD_CHANGE,SUCCESS,Toulouse,Medium
AUTH004456,2026-03-18T09:37:49Z,U0137,10.22.184.68,D0138,PASSWORD_CHANGE,Success,Bordeaux,Medium
AUTH003049,06/03/2026 10:14,U0075,10.23.85.119,D0102,RDP_SESSION,success,Nantes,medium
AUTH000780,2026-03-03 17:27:13,,10.16.149.51,D0006,MFA_CHALLENGE,SUCCESS,Lille,low
AUTH000290,08/03/2026 14:01,U0265,10.17.34.129,D0110,LOGIN,success,Nantes,medium
AUTH002309,2026-03-17 17:58:32,U0008,10.31.86.86,D0036,MFA_CHALLENGE,SUCCESS,Marseille,Low
AUTH000882,2026-03-20T10:53:38Z,U0217,10.43.91.230,D0027,MFA_CHALLENGE,Success,Bordeaux,Low
AUTH003487,07/03/2026 08:57,U0384,10.32.186.189,D0055,VPN_CONNECT,success,Nantes,low
AUTH004676,2026-03-14T19:18:31Z,U0154,10.1.232.203,D0065,LOGIN,failed,Bordeaux,medium
AUTH004053,2026-03-05 11:49:56,U0155,10.21.6.58,D0031,PASSWORD_CHANGE,SUCCESS,Lille,Medium
AUTH003794,13/03/2026 15:50,U0070,10.9.230.180,D0070,LOGIN,SUCCESS,Lille,Low
AUTH003881,15/03/2026 18:15,U0231,10.29.135.155,D0017,VPN_CONNECT,FAILED,Lyon,Medium
AUTH002395,11/03/2026 19:59,U0001,10.28.166.122,D0190,PASSWORD_CHANGE,FAILURE,Bordeaux,MEDIUM
AUTH003721,2026-03-05T17:40:40Z,U0148,10.26.80.107,D0035,LOGIN,SUCCESS,Marseille,Medium
AUTH001852,10/03/2026 08:01,U0371,10.32.158.195,D0074,MFA_CHALLENGE,Success,Paris,medium
AUTH002103,2026-03-16T08:35:35Z,U0065,10.41.224.1,D0101,LOGIN,Success,Nantes,LOW
AUTH000865,2026-03-20T12:14:01Z,U0175,10.0.62.245,D0074,VPN_CONNECT,SUCCESS,Marseille,Medium
AUTH002853,2026-03-04 11:34:47,U0290,10.14.36.21,D0029,LOGIN,SUCCESS,Marseille,Low
AUTH002797,03/03/2026 16:33,U0144,10.24.14.214,D0118,VPN_CONNECT,Success,Toulouse,Low
AUTH004782,2026-03-11 10:12:52,U0204,10.33.224.71,D9007,LOGIN,Success,Nantes,low
AUTH001941,2026-03-03T15:49:36Z,U0019,10.42.132.101,D0103,LOGOUT,Success,Marseille,LOW
AUTH000810,2026-03-12T12:41:44Z,U0194,10.33.119.66,D0050,RDP_SESSION,success,Marseille,LOW
AUTH004739,03/03/2026 18:28,U9005,10.24.244.169,D0086,LOGIN,SUCCESS,Marseille,low
AUTH002188,2026-03-10T15:10:00Z,U0320,10.49.209.173,D0094,RDP_SESSION,Success,Toulouse,medium
AUTH000032,2026-03-10 13:28:04,U0132,10.31.213.172,D0082,LOGOUT,Success,Paris,Low
AUTH000756,2026-03-10 10:14:23,U0132,10.35.114.68,D0182,PASSWORD_CHANGE,Failed,Paris,low
AUTH001420,10/03/2026 12:01,U0149,10.30.26.130,D0045,MFA_CHALLENGE,Success,Paris,Medium
AUTH000012,03/03/2026 04:58,U0246,10.6.81.72,D0083,RDP_SESSION,Success,Toulouse,MEDIUM
AUTH004325,2026-03-19 13:52:26,U0111,10.5.79.180,D0069,LOGOUT,SUCCESS,Marseille,MEDIUM
AUTH002888,2026-03-07 12:19:02,U0187,10.39.253.168,D0062,MFA_CHALLENGE,Success,Bordeaux,MEDIUM
AUTH003561,14/03/2026 18:39,U0223,10.46.184.175,D0069,RDP_SESSION,success,Bordeaux,low
AUTH000509,17/03/2026 15:02,U0159,10.29.163.216,D0148,PASSWORD_CHANGE,success,Toulouse,medium
AUTH001407,17/03/2026 11:00,U0173,10.40.175.147,D0176,VPN_CONNECT,SUCCESS,Toulouse,low
AUTH002136,2026-03-20T09:03:23Z,U0018,10.11.19.242,D0006,VPN_CONNECT,success,Lille,medium
AUTH000785,2026-03-04T12:02:50Z,U0199,10.20.73.4,D0174,VPN_CONNECT,success,Toulouse,medium
AUTH004804,06/03/2026 09:30,U0273,10.13.25.246,D9007,LOGIN,success,Marseille,low
AUTH001973,12/03/2026 19:05,U0177,10.4.97.72,D0022,VPN_CONNECT,success,Marseille,Medium
AUTH003111,13/03/2026 10:03,U0317,10.33.81.127,D0137,PASSWORD_CHANGE,Success,Lille,LOW
AUTH001532,2026-03-06 13:21:46,U0118,10.38.150.122,D0109,PASSWORD_CHANGE,success,Lyon,medium
AUTH000467,20/03/2026 14:47,U0154,10.35.77.118,D0155,LOGOUT,SUCCESS,Paris,Medium
AUTH003936,2026-03-14T17:19:36Z,U0262,10.6.53.177,D0150,MFA_CHALLENGE,SUCCESS,Bordeaux,LOW
AUTH002427,2026-03-12T13:02:13Z,U0175,10.23.46.239,D0018,LOGOUT,SUCCESS,Marseille,Medium
AUTH001056,05/03/2026 19:56,U0288,10.24.49.85,D0019,LOGIN,failed,Paris,medium
AUTH001652,16/03/2026 12:44,U0247,10.38.88.106,D0175,PASSWORD_CHANGE,success,Lyon,Medium
AUTH002806,18/03/2026 16:52,U0119,10.9.159.238,D0051,PASSWORD_CHANGE,SUCCESS,Paris,Low
AUTH004411,2026-03-11 11:01:53,U0091,10.19.244.22,D0084,LOGIN,success,Lille,Medium
AUTH002994,2026-03-03T09:55:15Z,U0074,10.41.201.1,D0059,LOGIN,success,Lille,low
AUTH002515,2026-03-06 01:25:10,U0194,10.50.157.23,D0023,RDP_SESSION,SUCCESS,Nantes,Low
AUTH001609,2026-03-11 10:59:24,U0225,10.8.108.101,D0074,LOGIN,success,Marseille,Medium
AUTH004112,13/03/2026 12:31,U0091,10.50.178.175,D0007,RDP_SESSION,SUCCESS,Lyon,low
AUTH002981,2026-03-14T12:03:08Z,U0039,10.3.74.73,D0088,PASSWORD_CHANGE,success,Nantes,MEDIUM
AUTH003363,02/03/2026 12:50,U0392,10.0.103.130,D0181,PASSWORD_CHANGE,Success,Paris,MEDIUM
AUTH001948,19/03/2026 18:57,U0010,10.17.218.141,D0085,LOGOUT,SUCCESS,Toulouse,medium
AUTH002197,19/03/2026 14:51,U0335,10.20.243.62,D0081,LOGIN,success,Toulouse,medium
AUTH000519,04/03/2026 16:47,U0269,10.28.77.27,D0125,LOGOUT,Failed,Marseille,Low
AUTH002044,15/03/2026 11:37,U0334,10.2.204.108,D0164,MFA_CHALLENGE,Success,Marseille,Medium
AUTH003000,2026-03-10 16:58:12,U0312,10.12.72.173,D0101,MFA_CHALLENGE,SUCCESS,Paris,MEDIUM
AUTH003217,2026-03-20 13:28:36,U0307,10.31.52.10,D0191,PASSWORD_CHANGE,Success,Nantes,medium
AUTH002720,2026-03-22T12:20:57Z,U0316,10.18.77.39,D0192,LOGOUT,SUCCESS,Nantes,low
AUTH003831,2026-03-04 10:01:23,U0115,10.40.11.37,D0167,LOGOUT,Success,Lyon,medium
AUTH002895,20/03/2026 09:41,U0111,10.13.144.49,D0016,RDP_SESSION,success,Lyon,LOW
AUTH002077,2026-03-03 10:19:46,U0296,10.43.178.122,D0062,PASSWORD_CHANGE,Success,Paris,LOW
AUTH001724,2026-03-12T13:45:23Z,U0076,10.34.6.54,D0008,VPN_CONNECT,SUCCESS,Marseille,medium
AUTH000175,2026-03-14 08:48:24,U0013,10.46.224.177,D0198,MFA_CHALLENGE,success,Lille,medium
AUTH000771,2026-03-13 14:14:26,U0299,10.23.58.18,D0064,LOGOUT,Success,Lyon,MEDIUM
AUTH000833,2026-03-11T09:49:19Z,U0094,10.43.216.127,D0200,MFA_CHALLENGE,SUCCESS,Lille,LOW
AUTH003306,2026-03-15 15:09:41,U0074,10.28.40.13,D0157,LOGOUT,Success,Paris,LOW
AUTH003146,2026-03-09 18:32:30,U0127,10.28.199.47,D0111,LOGOUT,success,Lyon,Low
AUTH003949,2026-03-03 08:20:55,U0215,10.44.168.224,D0151,LOGOUT,success,Bordeaux,medium
AUTH001092,2026-03-17T17:52:10Z,U0248,10.10.242.36,D0059,MFA_CHALLENGE,success,Bordeaux,medium
AUTH000368,2026-03-03T17:07:14Z,U0341,10.20.92.78,D0055,MFA_CHALLENGE,success,Bordeaux,MEDIUM
AUTH003592,2026-03-10T17:21:04Z,U0181,10.5.75.86,D0075,MFA_CHALLENGE,failed,Marseille,medium
AUTH004170,2026-03-04 13:32:03,,10.27.116.181,D0131,PASSWORD_CHANGE,Success,Marseille,LOW
AUTH001258,12/03/2026 08:25,U0136,10.21.36.241,D0117,VPN_CONNECT,Success,Lyon,Low
AUTH003872,2026-03-12T13:34:28Z,U0011,10.27.190.164,D0179,PASSWORD_CHANGE,SUCCESS,Nantes,Medium
AUTH000428,2026-03-16T19:29:19Z,U0260,10.27.138.198,D0178,LOGIN,SUCCESS,Toulouse,MEDIUM
AUTH000838,13/03/2026 10:37,U0124,10.44.239.98,D0041,PASSWORD_CHANGE,success,Marseille,low
AUTH000635,2026-03-22T10:35:09Z,U0189,10.2.232.192,D0169,LOGIN,success,Paris,Medium
AUTH001068,2026-03-14T01:44:18Z,U0323,10.15.114.39,D0064,MFA_CHALLENGE,Success,Lille,MEDIUM
AUTH003327,2026-03-12T10:24:19Z,U0169,10.8.250.83,D0136,LOGIN,Failed,Lyon,LOW
AUTH004564,2026-03-07T17:13:14Z,U0003,10.47.67.107,D0043,VPN_CONNECT,Success,Bordeaux,medium
AUTH003093,2026-03-11 08:11:10,U0187,10.15.125.131,D0068,LOGIN,success,Toulouse,low
AUTH003961,10/03/2026 17:47,U0081,10.46.223.41,D0117,PASSWORD_CHANGE,success,Lyon,LOW
AUTH004444,2026-03-16 14:00:52,U0387,10.7.169.140,D0111,PASSWORD_CHANGE,SUCCESS,Paris,Low
AUTH001914,02/03/2026 14:53,U0106,10.8.204.27,D0094,RDP_SESSION,Success,Marseille,LOW
AUTH002576,2026-03-05T11:59:37Z,U0112,10.44.210.132,D0024,PASSWORD_CHANGE,success,Nantes,Low
AUTH004407,03/03/2026 14:01,U0088,10.19.25.113,D0090,RDP_SESSION,Success,Lille,low
AUTH001163,2026-03-06 17:38:37,U0230,10.40.241.122,D0170,PASSWORD_CHANGE,SUCCESS,Nantes,MEDIUM
AUTH002909,17/03/2026 18:01,U0248,10.35.134.234,D0080,LOGIN,SUCCESS,Marseille,medium
AUTH003085,2026-03-22 13:30:51,U0261,10.20.164.3,D0035,PASSWORD_CHANGE,SUCCESS,Nantes,low
AUTH002240,06/03/2026 16:38,U0376,10.39.68.200,D0063,VPN_CONNECT,SUCCESS,Paris,medium
AUTH000914,2026-03-21T08:46:06Z,U0315,10.32.236.165,D0147,MFA_CHALLENGE,FAILED,Lyon,medium
AUTH003170,2026-03-08 19:10:46,U0076,10.44.116.134,D0139,VPN_CONNECT,SUCCESS,Paris,MEDIUM
AUTH000884,18/03/2026 11:30,U0376,10.22.159.54,D0108,LOGOUT,Success,Nantes,LOW
AUTH002851,14/03/2026 10:04,U0200,10.43.69.172,D0088,MFA_CHALLENGE,failed,Lyon,low
AUTH004248,2026-03-09T10:46:50Z,U0148,10.19.250.7,D0144,PASSWORD_CHANGE,success,Paris,Medium
