alert_id,timestamp,device_id,user_id,alert_type,process_name,severity,status,analyst_decision
EDR000652,2026-03-20 10:31:10,D0024,U0355,Unusual Network,inventory_scan.exe,High,In Progress,FALSE_POSITIVE
EDR000929,2026-03-11T09:23:42Z,D0189,U0097,Unusual Network,sccm_client.exe,Low,In Progress,FALSE_POSITIVE
EDR001304,2026-03-11 06:09:00,D0118,U0030,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000942,2026-03-12 09:52:24,D0200,U0017,PUP Detected,outlook.exe,Low,Open,
EDR001252,2026-03-11 03:33:00,D0165,U0392,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR001568,2026-03-11T19:21:00Z,D0112,U0197,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000499,2026-03-07 18:33:23,D0165,U0270,PUP Detected,chrome.exe,Low,Open,FALSE_POSITIVE
EDR000466,2026-03-16 10:58:21,D0126,U0315,PUP Detected,python.exe,HIGH,Closed,FALSE_POSITIVE
EDR001416,2026-03-11 11:45:00,D0122,U0293,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR001054,2026-03-05 08:30:33,D0161,U0336,PUP Detected,sccm_client.exe,MEDIUM,In Progress,FALSE_POSITIVE
EDR001642,2026-03-18 17:00:33,D0101,U0285,PUP Detected,outlook.exe,High,Open,NEEDS_INVESTIGATION
EDR000784,2026-03-07 13:30:21,D0065,U0299,PUP Detected,python.exe,Low,Open,FALSE_POSITIVE
EDR001577,2026-03-11 19:48:00,D0199,U0364,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR001807,2026-03-12T04:03:00Z,D0003,U0007,Persistence Attempt,powershell_enc.exe,critical,Open,TRUE_POSITIVE
EDR000754,2026-03-11T11:07:05Z,D0131,U0128,PUP Detected,antivirus_update.exe,HIGH,Closed,FALSE_POSITIVE
EDR000021,2026-03-22 17:46:33,D0181,U0081,Suspicious Process,antivirus_update.exe,high,In Progress,FALSE_POSITIVE
EDR001073,2026-03-05 08:11:42,D0095,U0262,Unusual Network,chrome.exe,high,In Progress,FALSE_POSITIVE
EDR000692,2026-03-16T14:46:56Z,D0108,U0228,Unusual Network,sccm_client.exe,MEDIUM,Open,FALSE_POSITIVE
EDR001778,2026-03-12 02:36:00,D0003,U0007,PowerShell Abuse,rundll32.exe,HIGH,In Progress,TRUE_POSITIVE
EDR000622,2026-03-16 18:09:56,D0170,U0202,Suspicious Process,inventory_scan.exe,High,In Progress,FALSE_POSITIVE
EDR000709,2026-03-04 13:54:58,D0135,U0253,PUP Detected,teams.exe,low,In Progress,FALSE_POSITIVE
EDR001635,2026-03-18T17:42:39Z,D0074,U0050,PUP Detected,cryptolock.exe,MEDIUM,Open,NEEDS_INVESTIGATION
EDR000266,2026-03-06 10:00:43,D0171,U0223,Suspicious Process,teams.exe,Low,Open,FALSE_POSITIVE
EDR000554,2026-03-10 17:58:22,D0085,U0063,PUP Detected,sccm_client.exe,high,Closed,FALSE_POSITIVE
EDR000102,2026-03-10T14:18:11Z,D0073,U0053,Unusual Network,inventory_scan.exe,HIGH,In Progress,FALSE_POSITIVE
EDR000154,2026-03-20 18:35:41,D0059,U0256,PUP Detected,teams.exe,medium,Open,
EDR000027,2026-03-13 13:08:41,D0127,U0261,PUP Detected,antivirus_update.exe,HIGH,In Progress,FALSE_POSITIVE
EDR001716,2026-03-13 10:30:29,D0146,U0369,Suspicious Process,antivirus_update.exe,High,Open,
EDR000368,2026-03-04 16:33:30,D0026,U0010,PUP Detected,outlook.exe,High,Closed,FALSE_POSITIVE
EDR001690,2026-03-05T11:50:16Z,D0163,U0140,PUP Detected,inventory_scan.exe,LOW,In Progress,NEEDS_INVESTIGATION
EDR001197,2026-03-11 00:48:00,D0036,U0195,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR000104,2026-03-11 14:00:19,D0090,U0375,Suspicious Process,sccm_client.exe,medium,Closed,FALSE_POSITIVE
EDR001478,2026-03-11T14:51:00Z,D0193,U0288,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR001367,2026-03-11 09:18:00,D0109,U0316,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR000218,2026-03-15 10:58:22,D0051,U0204,Suspicious Process,python.exe,MEDIUM,Open,FALSE_POSITIVE
EDR001319,2026-03-11 06:54:00,D0092,U0030,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR001023,2026-03-05 08:55:39,D0155,U0038,PUP Detected,sccm_client.exe,Low,Closed,FALSE_POSITIVE
EDR000561,2026-03-06 16:17:07,D0009,U0350,Unusual Network,antivirus_update.exe,High,Closed,FALSE_POSITIVE
EDR001119,2026-03-16 08:33:38,D0190,U0148,Suspicious Process,antivirus_update.exe,LOW,Open,FALSE_POSITIVE
EDR001507,2026-03-11 16:18:00,D0114,U0176,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR000981,2026-03-07 12:47:01,D0180,U0337,Unusual Network,chrome.exe,HIGH,Open,FALSE_POSITIVE
EDR000410,2026-03-08T17:00:36Z,D0080,U0286,Unusual Network,teams.exe,high,Open,FALSE_POSITIVE
EDR000676,2026-03-21 12:49:13,D0198,U0091,PUP Detected,sccm_client.exe,MEDIUM,In Progress,FALSE_POSITIVE
EDR000507,2026-03-09 17:56:07,D0083,U0308,Suspicious Process,chrome.exe,medium,Closed,FALSE_POSITIVE
EDR000702,2026-03-18T16:27:47Z,D0172,U0343,Suspicious Process,antivirus_update.exe,High,In Progress,FALSE_POSITIVE
EDR000756,2026-03-07 13:33:25,D0122,U0012,PUP Detected,inventory_scan.exe,MEDIUM,Closed,FALSE_POSITIVE
EDR000812,2026-03-03 13:26:40,D0080,U0011,PUP Detected,inventory_scan.exe,Medium,Open,FALSE_POSITIVE
EDR000850,2026-03-21 18:16:08,D0001,U0087,PUP Detected,sccm_client.exe,HIGH,Closed,FALSE_POSITIVE
EDR001814,2026-03-12 04:24:00,D0003,U0007,Persistence Attempt,cryptolock.exe,CRITICAL,In Progress,NEEDS_INVESTIGATION
EDR001742,2026-03-02 15:16:55,D0190,U0332,PowerShell Abuse,powershell_enc.exe,Critical,Closed,TRUE_POSITIVE
EDR000903,2026-03-11 18:00:08,D0096,U0278,Unusual Network,teams.exe,Low,Closed,FALSE_POSITIVE
EDR000156,2026-03-17 19:23:44,D0103,U0013,Suspicious Process,inventory_scan.exe,High,In Progress,FALSE_POSITIVE
EDR001653,2026-03-16 12:53:46,D0089,U0234,PowerShell Abuse,cryptolock.exe,critical,In Progress,NEEDS_INVESTIGATION
EDR000884,2026-03-09T10:45:02Z,D0132,U0143,Unusual Network,python.exe,Low,Closed,FALSE_POSITIVE
EDR000954,2026-03-08 17:20:24,D0164,U0156,Unusual Network,antivirus_update.exe,MEDIUM,Closed,FALSE_POSITIVE
EDR000730,2026-03-12 16:37:24,D0006,U0139,PUP Detected,antivirus_update.exe,Low,Open,FALSE_POSITIVE
EDR001041,2026-03-06 12:11:25,D0076,U0293,PUP Detected,sccm_client.exe,HIGH,Open,FALSE_POSITIVE
EDR001840,2026-03-16 09:12:32,D9008,U0179,Unusual Network,chrome.exe,critical,Open,
EDR000280,2026-03-15 14:54:30,D0057,U0076,Unusual Network,inventory_scan.exe,high,Open,FALSE_POSITIVE
EDR001306,2026-03-11 06:15:00,D0114,U0026,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR000792,2026-03-19 11:36:23,D0140,U0321,PUP Detected,teams.exe,LOW,In Progress,FALSE_POSITIVE
EDR001012,2026-03-14T19:42:52Z,D0090,U0141,Unusual Network,sccm_client.exe,Medium,Open,FALSE_POSITIVE
EDR000374,2026-03-19T18:43:57Z,D0150,U0030,PUP Detected,outlook.exe,High,Open,
EDR001595,2026-03-05T19:37:14Z,D0017,U0219,Ransomware Behaviour,mimikatz.exe,LOW,In Progress,NEEDS_INVESTIGATION
EDR000937,2026-03-02 11:02:39,D0188,U0058,Unusual Network,teams.exe,HIGH,In Progress,FALSE_POSITIVE
EDR001637,2026-03-14T09:43:26Z,D0163,U0034,Ransomware Behaviour,rundll32.exe,MEDIUM,In Progress,NEEDS_INVESTIGATION
EDR000997,2026-03-02T19:17:24Z,D0022,U0004,Suspicious Process,teams.exe,HIGH,Closed,FALSE_POSITIVE
EDR000479,2026-03-04 08:36:29,D0138,U0243,Unusual Network,inventory_scan.exe,High,In Progress,FALSE_POSITIVE
EDR000144,2026-03-11 10:28:09,D0138,U0122,Unusual Network,teams.exe,high,Open,FALSE_POSITIVE
EDR000987,2026-03-17 17:34:05,D0064,U0161,Unusual Network,inventory_scan.exe,Low,Open,
EDR000190,2026-03-03 14:37:14,D0170,U0062,Suspicious Process,inventory_scan.exe,MEDIUM,Closed,
EDR001688,2026-03-02T17:07:31Z,D0103,U0345,Malware Signature,inventory_scan.exe,MEDIUM,Open,NEEDS_INVESTIGATION
EDR001563,2026-03-11 19:06:00,D0194,U0363,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR001648,2026-03-10 13:14:30,D0074,U0334,Suspicious Process,python.exe,high,Open,NEEDS_INVESTIGATION
EDR000863,2026-03-21 12:23:56,D0007,U0128,Suspicious Process,sccm_client.exe,low,In Progress,FALSE_POSITIVE
EDR001265,2026-03-11 04:12:00,D0187,U0326,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR001545,2026-03-11 18:12:00,D0082,U0376,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000286,2026-03-13 14:38:33,D0031,U0326,PUP Detected,sccm_client.exe,Medium,Open,FALSE_POSITIVE
EDR001419,2026-03-11 11:54:00,D0119,U0317,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR001016,2026-03-09T11:12:36Z,D0101,U0300,Unusual Network,inventory_scan.exe,HIGH,Closed,FALSE_POSITIVE
EDR001718,2026-03-03T16:51:52Z,D0082,U0044,Ransomware Behaviour,antivirus_update.exe,medium,In Progress,NEEDS_INVESTIGATION
EDR001722,2026-03-02 15:39:08,D0145,U0125,Credential Access,teams.exe,MEDIUM,Open,
EDR001357,2026-03-11 08:48:00,D0176,U0282,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR000656,2026-03-08T19:24:59Z,D0085,U0056,Suspicious Process,inventory_scan.exe,High,In Progress,FALSE_POSITIVE
EDR001668,2026-03-08 13:04:43,D0036,U0265,Persistence Attempt,rundll32.exe,medium,Open,NEEDS_INVESTIGATION
EDR000124,2026-03-21 08:24:53,D0075,U0209,Suspicious Process,antivirus_update.exe,MEDIUM,In Progress,FALSE_POSITIVE
EDR001221,2026-03-11 02:00:00,D0170,U0365,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR000737,2026-03-06 09:34:48,D0015,U0145,Unusual Network,python.exe,low,Open,FALSE_POSITIVE
EDR000203,2026-03-19 14:27:22,D0029,U0262,PUP Detected,sccm_client.exe,HIGH,In Progress,FALSE_POSITIVE
EDR000761,2026-03-03 13:07:22,D0059,U0337,Unusual Network,outlook.exe,MEDIUM,Open,FALSE_POSITIVE
EDR001558,2026-03-11 18:51:00,D0136,U0173,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000408,2026-03-11 14:25:15,D0055,U0063,Suspicious Process,teams.exe,High,Closed,FALSE_POSITIVE
EDR000698,2026-03-09T19:13:02Z,D0082,U0312,Unusual Network,teams.exe,High,Open,
EDR001624,2026-03-02 08:07:06,D0084,U0017,PUP Detected,mimikatz.exe,Medium,Open,NEEDS_INVESTIGATION
EDR000325,2026-03-18 18:50:27,D0094,U0133,Unusual Network,sccm_client.exe,High,Closed,FALSE_POSITIVE
EDR000327,2026-03-21 09:59:09,D0131,U0060,Suspicious Process,antivirus_update.exe,Medium,In Progress,FALSE_POSITIVE
EDR000344,2026-03-12 15:11:58,D0159,U0209,Unusual Network,sccm_client.exe,High,In Progress,FALSE_POSITIVE
EDR001679,2026-03-12 14:41:38,D0110,U0166,Credential Access,psexec.exe,critical,Open,NEEDS_INVESTIGATION
EDR000603,2026-03-16 18:40:17,D0094,U0368,Suspicious Process,antivirus_update.exe,medium,Closed,FALSE_POSITIVE
EDR000303,2026-03-22 15:32:18,D0135,U0034,PUP Detected,inventory_scan.exe,high,Closed,FALSE_POSITIVE
EDR000862,2026-03-04 15:32:22,D0169,U0372,Suspicious Process,sccm_client.exe,MEDIUM,In Progress,FALSE_POSITIVE
EDR001029,2026-03-03 14:34:28,D0003,U0240,Suspicious Process,inventory_scan.exe,low,In Progress,FALSE_POSITIVE
EDR001064,2026-03-03 12:21:19,D0037,U0358,Suspicious Process,chrome.exe,Medium,In Progress,FALSE_POSITIVE
EDR001502,2026-03-11T16:03:00Z,D0121,U0271,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000928,2026-03-07 08:20:26,D0161,U0248,Suspicious Process,sccm_client.exe,Medium,Closed,FALSE_POSITIVE
EDR000388,2026-03-07 13:19:36,D0179,U0239,Suspicious Process,python.exe,low,Closed,FALSE_POSITIVE
EDR000750,2026-03-06 09:34:41,D0016,U0236,Suspicious Process,antivirus_update.exe,High,Closed,FALSE_POSITIVE
EDR000220,2026-03-10 14:42:30,D0104,U0213,Suspicious Process,chrome.exe,High,Open,FALSE_POSITIVE
EDR000329,2026-03-15 09:15:39,D0057,U0016,Unusual Network,chrome.exe,high,Open,
EDR001240,2026-03-11 02:57:00,D0003,U0198,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000500,2026-03-14 11:11:42,D0052,U0037,Suspicious Process,teams.exe,LOW,Closed,FALSE_POSITIVE
EDR001111,2026-03-12 16:44:05,D0148,U0008,Unusual Network,inventory_scan.exe,Low,Closed,FALSE_POSITIVE
EDR001262,2026-03-11 04:03:00,D0144,U0343,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000278,2026-03-19T16:43:26Z,D0180,U0102,Suspicious Process,python.exe,high,Closed,FALSE_POSITIVE
EDR001380,2026-03-11 09:57:00,D0150,U0242,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR000383,2026-03-16 08:39:29,D0050,U0153,PUP Detected,inventory_scan.exe,High,In Progress,
EDR000468,2026-03-11T10:01:28Z,D0052,U0207,PUP Detected,antivirus_update.exe,High,Closed,FALSE_POSITIVE
EDR001147,2026-03-12 16:16:10,D0034,U0031,Suspicious Process,antivirus_update.exe,MEDIUM,In Progress,FALSE_POSITIVE
EDR000572,2026-03-19T14:03:44Z,D0111,U0280,PUP Detected,teams.exe,Low,In Progress,FALSE_POSITIVE
EDR000031,2026-03-12 10:30:35,D0030,U0097,PUP Detected,antivirus_update.exe,Medium,Open,FALSE_POSITIVE
EDR001739,2026-03-22 19:16:13,D0187,U0117,Malware Signature,mimikatz.exe,Critical,Closed,TRUE_POSITIVE
EDR000876,2026-03-03 16:22:27,D0147,U0080,Unusual Network,sccm_client.exe,Low,Closed,FALSE_POSITIVE
EDR001848,2026-03-13 08:47:52,D9003,U0146,Suspicious Process,outlook.exe,Low,Open,NEEDS_INVESTIGATION
EDR000557,2026-03-06 12:59:11,D0055,U0105,Suspicious Process,outlook.exe,High,Closed,FALSE_POSITIVE
EDR000535,2026-03-06 18:08:08,D0188,U0224,PUP Detected,outlook.exe,Low,Open,FALSE_POSITIVE
EDR000231,2026-03-15 12:56:07,D0109,U0144,Unusual Network,chrome.exe,Low,Closed,FALSE_POSITIVE
EDR001053,2026-03-06 19:56:12,D0095,U0250,PUP Detected,teams.exe,High,Closed,FALSE_POSITIVE
EDR001195,2026-03-11 00:42:00,D0117,U0219,Suspicious Process,backup_agent.exe,high,Closed,
EDR001326,2026-03-11 07:15:00,D0148,U0299,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR000593,2026-03-03 14:48:10,D0073,U0393,Unusual Network,teams.exe,MEDIUM,Open,FALSE_POSITIVE
EDR001236,2026-03-11 02:45:00,D0056,U0207,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR000421,2026-03-13 18:01:41,D0189,U0162,Suspicious Process,python.exe,low,Closed,FALSE_POSITIVE
EDR001274,2026-03-11 04:39:00,D0081,U0126,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR001547,2026-03-11 18:18:00,D0024,U0099,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR001346,2026-03-11 08:15:00,D0075,U0376,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR000871,2026-03-11T10:37:58Z,D0102,U0319,PUP Detected,sccm_client.exe,medium,Closed,FALSE_POSITIVE
EDR000389,2026-03-09 17:56:04,D0012,U0217,Unusual Network,antivirus_update.exe,Low,Open,FALSE_POSITIVE
EDR000406,2026-03-06 15:27:58,D0185,U0167,PUP Detected,sccm_client.exe,high,In Progress,FALSE_POSITIVE
EDR001058,2026-03-22 09:35:35,D0023,U0313,Unusual Network,teams.exe,high,Closed,FALSE_POSITIVE
EDR001186,2026-03-11 00:15:00,D0005,U0367,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000728,2026-03-13 11:00:37,D0103,U0148,Unusual Network,antivirus_update.exe,medium,In Progress,FALSE_POSITIVE
EDR000045,2026-03-04 19:10:11,D0089,U0123,PUP Detected,sccm_client.exe,high,In Progress,
EDR001260,2026-03-11 03:57:00,D0186,U0079,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR001820,2026-03-17 03:30:00,D0011,U0113,Persistence Attempt,rundll32.exe,Critical,Open,TRUE_POSITIVE
EDR001144,2026-03-05 18:40:22,D0171,U0099,Unusual Network,antivirus_update.exe,high,In Progress,FALSE_POSITIVE
EDR000375,2026-03-14 10:45:04,D0184,U0375,Unusual Network,chrome.exe,low,Open,FALSE_POSITIVE
EDR000024,2026-03-10 11:09:44,D0196,U0118,Unusual Network,teams.exe,Low,Open,FALSE_POSITIVE
EDR001587,2026-03-17 19:51:36,D0056,U0384,Persistence Attempt,mimikatz.exe,CRITICAL,Closed,FALSE_POSITIVE
EDR000873,2026-03-13T14:30:26Z,D0028,U0267,PUP Detected,python.exe,Medium,In Progress,FALSE_POSITIVE
EDR001607,2026-03-08 12:59:16,D0025,U0287,Unusual Network,rundll32.exe,medium,Open,NEEDS_INVESTIGATION
EDR000462,2026-03-19 17:03:17,D0144,U0177,Unusual Network,sccm_client.exe,Low,Open,FALSE_POSITIVE
EDR000276,2026-03-13 14:14:25,D0168,U0348,Suspicious Process,chrome.exe,medium,Open,FALSE_POSITIVE
EDR000527,2026-03-22 11:44:35,D0018,U0184,Unusual Network,antivirus_update.exe,MEDIUM,In Progress,FALSE_POSITIVE
EDR001625,2026-03-05T08:39:34Z,D0067,U0341,PowerShell Abuse,teams.exe,HIGH,In Progress,NEEDS_INVESTIGATION
EDR000200,2026-03-08T16:10:41Z,D0188,U0239,Unusual Network,outlook.exe,low,Open,FALSE_POSITIVE
EDR000528,2026-03-02T14:18:27Z,D0031,U0210,PUP Detected,chrome.exe,HIGH,Closed,FALSE_POSITIVE
EDR000882,2026-03-18 12:26:12,D0094,U0110,Suspicious Process,sccm_client.exe,MEDIUM,Open,
EDR001680,2026-03-20 18:45:26,D0062,U0232,Suspicious Process,rundll32.exe,HIGH,Open,NEEDS_INVESTIGATION
EDR001486,2026-03-11 15:15:00,D0174,U0172,Suspicious Process,backup_agent.exe,high,Closed,FALSE_POSITIVE
EDR000458,2026-03-04T19:05:20Z,D0186,U0214,Unusual Network,sccm_client.exe,medium,Closed,FALSE_POSITIVE
EDR001731,2026-03-09 09:12:52,D0014,U0239,Credential Access,rundll32.exe,CRITICAL,Closed,TRUE_POSITIVE
EDR000764,2026-03-10 18:54:53,D0071,U0128,Suspicious Process,antivirus_update.exe,medium,In Progress,FALSE_POSITIVE
EDR001155,2026-03-08 19:46:43,D0128,U0191,Suspicious Process,outlook.exe,low,In Progress,FALSE_POSITIVE
EDR000033,2026-03-09 17:18:04,D0005,U0232,Suspicious Process,sccm_client.exe,MEDIUM,Open,FALSE_POSITIVE
EDR000568,2026-03-08 11:13:19,D0193,U0022,Suspicious Process,chrome.exe,MEDIUM,In Progress,FALSE_POSITIVE
EDR001706,2026-03-09 15:30:41,D0167,U0362,Suspicious Process,sccm_client.exe,HIGH,In Progress,NEEDS_INVESTIGATION
EDR001832,2026-03-21 08:58:35,D9003,U0288,PowerShell Abuse,cryptolock.exe,CRITICAL,Closed,FALSE_POSITIVE
EDR001312,2026-03-11 06:33:00,D0186,U0205,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000712,2026-03-12 08:44:39,D0182,U0287,Suspicious Process,inventory_scan.exe,Medium,In Progress,FALSE_POSITIVE
EDR001421,2026-03-11 12:00:00,D0058,U0318,Suspicious Process,backup_agent.exe,High,Closed,FALSE_POSITIVE
EDR000478,2026-03-18T18:50:55Z,D0085,U0127,Suspicious Process,chrome.exe,medium,Closed,FALSE_POSITIVE
EDR000653,2026-03-15T15:52:26Z,D0115,U0118,Suspicious Process,antivirus_update.exe,High,Closed,FALSE_POSITIVE
EDR001734,2026-03-04 10:50:55,D0017,U0088,Persistence Attempt,powershell_enc.exe,HIGH,Closed,TRUE_POSITIVE
EDR000394,2026-03-20T09:29:38Z,D0155,U0199,PUP Detected,inventory_scan.exe,medium,Open,FALSE_POSITIVE
EDR000305,2026-03-11T11:39:26Z,D0109,U0323,Suspicious Process,outlook.exe,Medium,In Progress,FALSE_POSITIVE
EDR000755,2026-03-02 14:39:18,D0111,U0200,Unusual Network,inventory_scan.exe,High,In Progress,FALSE_POSITIVE
EDR000852,2026-03-20 11:59:54,D0154,U0355,Suspicious Process,antivirus_update.exe,MEDIUM,Open,FALSE_POSITIVE
EDR001612,2026-03-11 13:03:06,D0028,U0196,Credential Access,sccm_client.exe,CRITICAL,In Progress,NEEDS_INVESTIGATION
EDR000285,2026-03-10 12:34:01,D0133,U0077,PUP Detected,chrome.exe,Low,In Progress,
EDR000685,2026-03-07 08:24:15,D0005,U0163,PUP Detected,outlook.exe,High,Open,
EDR000443,2026-03-22 09:56:31,D0110,U0346,Unusual Network,chrome.exe,Low,In Progress,
EDR001227,2026-03-11 02:18:00,D0107,U0339,Suspicious Process,backup_agent.exe,HIGH,Closed,FALSE_POSITIVE
EDR000569,2026-03-15 18:09:12,D0087,U0158,Unusual Network,teams.exe,HIGH,Closed,FALSE_POSITIVE
EDR001741,2026-03-04 13:51:52,D0180,U0072,PowerShell Abuse,cryptolock.exe,high,Closed,TRUE_POSITIVE
EDR000893,2026-03-19 14:09:21,D0054,U0021,Unusual Network,chrome.exe,low,Closed,FALSE_POSITIVE
EDR000232,2026-03-03 12:46:47,D0096,U0126,Suspicious Process,outlook.exe,LOW,Closed,FALSE_POSITIVE
